ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V2725,offshore_tep,galapagos,galapagos_8,21,Restricted,-1.25,-90.4803,609.826519,203.1917289,203.1917289,0.196488391,pare ,pare ,passive,0,0,0,0
V2729,offshore_tep,galapagos,galapagos_9,21,Restricted,-1.3541,-89.645,672.3331489,303.9409176,303.9409176,0.548783763,pare ,pare ,passive,0,3,15,64.79142866
V2732,offshore_tep,galapagos,galapagos_10,21,Restricted,1.3832,-91.8156,484.5391323,258.5368862,258.5368862,0.014319231,pare ,pare ,passive,0,6,7,33.56343329
V2733,offshore_tep,galapagos,galapagos_11,21,Restricted,1.6773,-91.998,565.7277048,381.9061842,381.9061842,0.011239473,pare ,pare ,passive,1,16,10,127.5026696
V2734,offshore_tep,galapagos,galapagos_5,21,Restricted,-0.0473,-91.5431,364.3896144,159.5632964,159.5632964,0.040760519,pare ,pare ,passive,0,9,1,3.875
V2735,eastern_atlantic,stome,stome_3,0,Fished,7.00E-04,6.5247,71.70147738,55.67507126,55.67507126,50.98759892,pare ,pare ,passive,0,10,10,47.04288231
V2738,hawaiian,hawaii,hawaii_6,0,Fished,20.7346,-156.9341,72.11970034,68.25257835,68.25257835,18.57116427,pare ,pare ,passive,1,18,3,611.514936
V2877,hawaiian,hawaii,hawaii_12,0,Fished,21.2775,-157.8484,84.17488887,84.16284667,84.16284667,8140.402653,pare ,pare ,passive,0,2,22,13.56707383
V2887,hawaiian,hawaii,hawaii_7,0,Fished,20.9998,-156.6668,71.98328708,68.83592228,68.83592228,1355.044583,pare ,pare ,passive,0,0,11,0
V2895,hawaiian,hawaii,hawaii_11,36,Restricted,21.648,-158.0658,91.28665594,88.68727268,88.68727268,557.5603609,pare ,pare ,passive,0,6,0,0
V2909,central_iwp,christmas_island,christmas_island_2,39,Restricted,-10.4617,105.5969,359.7594441,298.9445391,298.9445391,10.22965783,pare ,pare ,passive,0,22,23,16803.45186
V2985,sw_pacific,lord_howe_island,lord_howe_island_2,20,Closed,-31.7634,159.2528,2149.189184,493.6841296,927.294102,0.010341511,pare ,pare ,passive,0,4,3,80.28916409
V2986,sw_pacific,norfolk_island,norfolk_island_2,7,Restricted,-29.0018,167.9238,137.6921843,64.85770094,64.85770094,2.400597482,pare ,pare ,passive,0,7,3,427.5431665
V2987,sw_pacific,elizabeth_and_middleton_reefs,elizabeth_and_middleton_reefs_1,7,Closed,-29.444,159.0867,832.237416,324.4118249,351.423686,0.000199943,pare ,pare ,passive,0,6,2,7.296030355
V2988,sw_pacific,elizabeth_and_middleton_reefs,elizabeth_and_middleton_reefs_2,7,Closed,-29.9327,159.0675,632.1537174,334.29606,357.6605944,0.000333726,pare ,pare ,passive,0,0,16,0
V2989,sw_pacific,lord_howe_island,lord_howe_island_1,20,Closed,-31.5321,159.06,382.4309993,191.0996738,214.9651106,0.087158128,pare ,pare ,passive,0,1,4,19.88126458
V2995,polynesian,marquesas_islands,marquesas_islands_2,0,Fished,-9.4013,-140.1293,1191.637933,641.3419127,653.9444148,0.356121627,pare ,pare ,passive,0,2,4,29950.42536
V3226,central_pacific,ailuk_atoll,ailuk_atoll_3,9,Closed,10.387,169.9125,606.5092474,451.9924885,451.9924885,0.916308183,pare ,pare ,passive,0,0,0,0
V3392,sw_pacific,queensland_(other),queensland_(other)_9,7,Closed,-10.5005,141.228,846.4936434,562.2602086,562.2602086,0.651674955,pare ,pare ,passive,0,222,51,6315.100623
V3439,sw_pacific,queensland_(other),queensland_(other)_15,0,Fished,-9.8557,143.5945,660.6005283,643.8923576,643.8923576,1.284305843,pare ,pare ,passive,0,312,164,8324.184469
V3448,sw_pacific,central_gbr,central_gbr_26,15,Closed,-16.3883,145.5731,562.7273777,434.2453149,539.349418,13.60789281,pare ,pare ,passive,0,61,62,1291.298528
V3648,sw_pacific,northern_gbr,northern_gbr_8,15,Closed,-12.2842,143.4054,785.9994513,660.6724257,725.505664,0.168680305,pare ,pare ,passive,0,38,94,10828.44762
V3681,sw_pacific,northern_gbr,northern_gbr_13,15,Restricted,-12.3831,143.7636,731.199697,659.6762411,659.6762411,0.280553342,pare ,pare ,passive,0,40,81,12966.44179
V3707,sw_pacific,northern_gbr,northern_gbr_12,15,Restricted,-12.6264,143.5831,336.0051977,262.7460206,262.7460206,0.202880157,pare ,pare ,passive,0,79,89,26885.78965
V3771,sw_pacific,northern_gbr,northern_gbr_2,15,Restricted,-13.9599,143.8372,459.1180133,407.6343242,407.6343242,0.553697966,pare ,pare ,passive,0,136,94,40450.58052
V3773,sw_pacific,northern_gbr,northern_gbr_6,15,Restricted,-13.9771,144.5006,962.9780544,783.3204859,783.3204859,0.511824979,pare ,pare ,passive,0,383,85,283270.3708
V3773,sw_pacific,northern_gbr,northern_gbr_7,15,Restricted,-13.9587,144.3818,498.9447672,462.3644274,462.3644274,0.521713361,pare ,pare ,passive,0,383,85,283270.3708
V3831,sw_pacific,northern_gbr,northern_gbr_1,19,Restricted,-14.6691,145.4528,549.6290997,384.2680544,384.2680544,0.66171948,pare ,pare ,passive,0,48,126,14380.18691
V3922,sw_pacific,central_gbr,central_gbr_27,15,Restricted,-16.2122,145.785,215.0552843,213.4556524,213.4556524,4.321748627,pare ,pare ,passive,0,212,50,19409.96666
V3928,sw_pacific,central_gbr,central_gbr_7,15,Closed,-15.9682,145.8175,150.5250485,146.3016712,146.3016712,2.628967975,pare ,pare ,passive,0,174,44,309403.168
V3971,sw_pacific,queensland_(other),queensland_(other)_19,0,Fished,-10.5209,143.0928,899.420226,815.8474078,815.8474078,0.847466041,pare ,pare ,passive,0,16,52,363.0177855
