"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowBR)","cond(IndegreeBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"7405",4.02224454813428,"+",NA,NA,"+","+",0.0940366872855306,NA,NA,NA,0.038070772355733,NA,NA,NA,NA,NA,NA,NA,NA,NA,31581.3382656352,31660.6600763521,0.0064723764480692,0.775709739722548,"Gamma(log)",13,-15777.6691328176,31581.4490386115,NA,NA
"7406",4.03833782067742,"+",NA,NA,"+",NA,NA,NA,-0.0174594088990512,0.0773180050245282,0.0263649571691465,NA,NA,NA,NA,NA,NA,NA,NA,NA,31601.96236676,31669.080821982,0.00514090522214517,0.775256201883205,"Gamma(log)",11,-15789.98118338,31602.0426587309,NA,NA
"7407",4.00591114579237,"+",NA,NA,NA,"+",NA,NA,-0.0139151392304961,0.0805950119893018,0.0324610964636882,NA,NA,NA,NA,NA,NA,NA,NA,NA,31613.4252154596,31686.645348429,0.00374035049558959,0.769677867918362,"Gamma(log)",12,-15794.7126077298,31613.5201348389,NA,NA
"7408",4.03288346149654,"+",NA,NA,"+","+",NA,NA,-0.0139586830592713,0.0919278172276616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31604.5081721649,31683.8299828818,0.00505742000018301,0.775188155012624,"Gamma(log)",13,-15789.2540860824,31604.6189451411,NA,NA
"7409",4.02226007653828,"+",NA,NA,"+","+",NA,NA,-0.0247474250419596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0749950973201934,31618.1298695163,31697.4516802332,0.00319806816528502,0.777037972493849,"Gamma(log)",13,-15796.0649347581,31618.2406424925,NA,NA
"7410",4.02081645513939,"+",NA,NA,"+","+",NA,NA,0.0102113742520065,NA,0.0439936864887079,NA,NA,NA,NA,NA,NA,NA,NA,NA,31635.7161762644,31715.0379869813,0.00247575857744904,0.775755967214919,"Gamma(log)",13,-15804.8580881322,31635.8269492406,NA,NA
"7411",4.03899516926694,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,NA,NA,0.0883546516327472,NA,NA,NA,NA,-0.00079589176079254,NA,31610.5138671924,31689.8356779093,0.00515780114673261,0.77423283370059,"Gamma(log)",13,-15792.2569335962,31610.6246401686,NA,NA
"7412",4.0390424107799,"+",NA,NA,"+",NA,NA,NA,NA,0.0763619969535885,0.022229379273103,NA,NA,NA,NA,NA,NA,NA,-0.0103067104275209,NA,31602.8783143246,31669.9967695466,0.00513631955456711,0.77495632937526,"Gamma(log)",11,-15790.4391571623,31602.9586062954,NA,NA
"7413",4.00640599344893,"+",NA,NA,NA,"+",NA,NA,NA,0.0790622337374609,0.0296719358740849,NA,NA,NA,NA,NA,NA,NA,-0.00723531973486784,NA,31614.0778914381,31687.2980244076,0.00374316193792053,0.769547078261423,"Gamma(log)",12,-15795.0389457191,31614.1728108175,NA,NA
"7414",4.03388397643677,"+",NA,NA,"+","+",NA,NA,NA,0.0924049176998125,NA,NA,NA,NA,NA,NA,NA,NA,-0.0127001590795682,NA,31604.6096099041,31683.9314206211,0.00513169333284539,0.774931979371592,"Gamma(log)",13,-15789.3048049521,31604.7203828804,NA,NA
"7415",4.02053901145274,"+",NA,NA,"+","+",NA,NA,NA,NA,0.0447063401404159,NA,NA,NA,NA,NA,NA,NA,0.0204849297013196,NA,31633.5703188588,31712.8921295758,0.00271449246992853,0.775812047039035,"Gamma(log)",13,-15803.7851594294,31633.6810918351,NA,NA
"7416",4.03890571716298,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,NA,NA,0.0714194978677407,NA,NA,NA,NA,NA,0.0432179192765389,31599.1057741808,31678.4275848977,0.0060644774616019,0.774582939854745,"Gamma(log)",13,-15786.5528870904,31599.2165471571,NA,NA
"7417",4.03298073917955,"+",NA,NA,"+","+",NA,NA,NA,0.0692321839928555,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0319283988100926,31600.1654443416,31679.4872550585,0.00550757547458584,0.77516494207757,"Gamma(log)",13,-15787.0827221708,31600.2762173179,NA,NA
"7418",4.03340696710467,"+",NA,NA,"+","+",NA,NA,NA,0.0806609372938071,0.0269904599080675,NA,NA,NA,NA,NA,NA,NA,NA,NA,31602.1844086284,31681.5062193453,0.00587172889940735,0.774739352746529,"Gamma(log)",13,-15788.0922043142,31602.2951816047,NA,NA
"7419",4.02497213184775,"+",NA,NA,"+","+",NA,NA,NA,NA,0.0396191791515537,NA,NA,NA,NA,NA,NA,NA,NA,0.0589083158683049,31613.1605463159,31692.4823570328,0.00434790336018371,0.775895355750809,"Gamma(log)",13,-15793.580273158,31613.2713192922,NA,NA
"7420",4.28136456727442,"+",0.0418099916757174,NA,NA,NA,NA,0.0161161759780126,NA,NA,NA,0.981676478970751,NA,NA,NA,NA,NA,NA,NA,NA,24480.3698787556,24535.2849784827,0.727033089151882,0.958330772984434,"Gamma(log)",9,-12231.1849393778,24480.4245900018,NA,NA
"7421",4.28642478575153,"+",NA,0.00144981001595897,NA,NA,NA,0.0151803855184853,NA,NA,NA,0.984886461085904,NA,NA,NA,NA,NA,NA,NA,NA,24551.4761748708,24606.3912745979,0.73360230363375,0.957662844238012,"Gamma(log)",9,-12266.7380874354,24551.530886117,NA,NA
"7422",4.28620348427717,"+",NA,NA,NA,NA,NA,0.015156721240994,NA,NA,NA,0.98571955027092,NA,NA,-0.00492398431410882,NA,NA,NA,NA,NA,24550.2606790039,24605.175778731,0.733735635822147,0.957646175067787,"Gamma(log)",9,-12266.1303395019,24550.3153902501,NA,NA
"7423",4.28604563129168,"+",NA,NA,NA,NA,NA,0.015332277939047,NA,NA,NA,0.984675928039277,0.0115909481273839,NA,NA,NA,NA,NA,NA,NA,24543.9250349191,24598.8401346462,0.732424978977545,0.957706440728305,"Gamma(log)",9,-12262.9625174596,24543.9797461653,NA,NA
