"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(temp)","cond(grav_neiBR.1)","cond(IndegreeBR)","cond(InflowBR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"569",5.9694160057259,"+",-0.0166864290424339,-0.0843771279135622,"+","+",NA,NA,-0.0762660034155473,NA,0.47804921694224,NA,0.256851961959478,NA,-0.0962271749876519,NA,NA,NA,NA,NA,45231.597921322,45335.3264430288,0.126097636844123,0.193988927742888,"Gamma(log)",17,-22598.798960661,45231.7843929856,157.595304979397,4.44671474616359e-36
"2689",5.87943904569774,"+",-0.014736060211278,-0.0656635514886376,"+",NA,-0.150245248499539,NA,NA,NA,0.552692224942326,0.0454570906170914,NA,NA,NA,NA,NA,-0.153480513305566,NA,NA,45231.7104033731,45317.1338918375,0.127225448563164,0.276603218075114,"Gamma(log)",14,-22601.8552016866,45231.8382572544,157.649169248143,4.32855353606198e-36
"2940",5.87943891427532,"+",-0.0147360029750536,-0.0656635204085267,"+",NA,NA,NA,NA,NA,0.552692326945887,0.0454571487388409,NA,-0.150245332119177,NA,NA,NA,-0.153480637356108,NA,NA,45231.7104035478,45317.1338920121,0.127225451256715,0.276603270384714,"Gamma(log)",14,-22601.8552017739,45231.838257429,157.649169422795,4.32855315806654e-36
"1109",5.86132414396706,"+",0.00467590506230797,-0.0627795915243518,"+",NA,-0.149436288172488,NA,NA,NA,0.563541427347807,0.0284186900253643,NA,NA,NA,-0.107075856308553,-0.0949233981475105,NA,NA,NA,45231.7089416762,45323.2341078881,0.123007274803986,0.27776912048914,"Gamma(log)",15,-22600.8544708381,45231.8551048918,157.666016885581,4.29224373406675e-36
"1208",5.8613226532876,"+",0.00467672592332756,-0.0627807582671079,"+",NA,NA,NA,NA,NA,0.563541562520042,0.0284191736894701,NA,-0.14943774417795,NA,-0.107075328318615,-0.0949238003788821,NA,NA,NA,45231.7089432531,45323.234109465,0.12300741576855,0.277768592881835,"Gamma(log)",15,-22600.8544716266,45231.8551064687,157.666018462485,4.29224034984048e-36
"6224",5.95142725597212,"+",-0.0219505188637775,NA,"+",NA,NA,NA,NA,NA,0.480668348729427,NA,0.229417327173331,NA,NA,NA,-0.165831470884744,NA,NA,NA,45231.9230191749,45305.1431521444,0.123299354824313,0.196655584582233,"Gamma(log)",12,-22603.9615095875,45232.0179385543,157.828850548023,3.95663050279946e-36
"7174",5.86326847938194,"+",NA,NA,"+",NA,-0.154660275840467,NA,NA,NA,0.556156891433417,NA,NA,NA,NA,-0.0882188067535637,-0.107300699255987,NA,NA,NA,45231.9235909224,45305.1437238919,0.121648031008827,0.28007920059243,"Gamma(log)",12,-22603.9617954612,45232.0185103018,157.829422295516,3.95549956767541e-36
"7569",5.86326847927997,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.556156891568663,NA,NA,-0.154660275699604,NA,-0.088218806979174,-0.107300699361368,NA,NA,NA,45231.9235909368,45305.1437239063,0.121648030973573,0.280079200800081,"Gamma(log)",12,-22603.9617954684,45232.0185103162,157.829422309966,3.95549953909683e-36
"5258",5.85770499277962,"+",0.0155990083976136,NA,"+",NA,NA,NA,NA,NA,0.557845763645376,NA,NA,-0.155062887418313,NA,NA,-0.10343061282154,-0.102016114103897,NA,NA,45231.9796998624,45311.3015105793,0.121977792829724,0.279182495718644,"Gamma(log)",13,-22602.9898499312,45232.0904728387,157.901384832439,3.81570573720273e-36
"4882",5.85770517398761,"+",0.0155988796071033,NA,"+",NA,-0.155062963127581,NA,NA,NA,0.557845890614585,NA,NA,NA,NA,NA,-0.103430706546147,-0.102016023274752,NA,NA,45231.9797000356,45311.3015107525,0.1219778387205,0.279182504475029,"Gamma(log)",13,-22602.9898500178,45232.0904730118,157.901385005585,3.81570540686572e-36
