"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(CorridorIndegreeBR)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(InflowLR)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"2853",4.01488233180772,"+",NA,NA,NA,0.0402022063127878,NA,NA,NA,NA,NA,NA,NA,NA,0.0577248014926317,NA,NA,NA,31606.887393426,31655.7008154056,0.00364653449882988,0.769237668945928,"Gamma(log)",8,-15795.443696713,31606.9311491233,60.1186678641934,3.25285770672417e-15
"1317",4.00626172124335,"+",NA,NA,NA,NA,"+",NA,0.0323898386502996,NA,0.00493090566399615,0.0681134335494841,0.040320478311284,NA,NA,NA,NA,NA,31606.8589813772,31686.1807920941,0.00422433049089964,0.770538592768199,"Gamma(log)",13,-15790.4294906886,31606.9697543535,60.1572730943626,3.19067115881856e-15
"1357",4.00626188137577,"+",NA,NA,NA,NA,"+",NA,0.0323904145434007,NA,0.00153586726327575,0.0681135625601525,NA,NA,NA,NA,NA,0.0415476627807066,31606.8589818181,31686.180792535,0.00422439328457542,0.770537109770357,"Gamma(log)",13,-15790.4294909091,31606.9697547944,60.1572735352493,3.19067045545647e-15
"1919",4.00029942411754,"+",NA,0.0263233005804215,NA,NA,"+",NA,0.0324780375317173,NA,NA,NA,NA,NA,0.0823230919177761,NA,NA,NA,31606.8845521819,31680.1046851514,0.00382611461564622,0.771307432145998,"Gamma(log)",12,-15791.442276091,31606.9794715613,60.1669903021902,3.17520655006442e-15
"1945",4.00765122525227,"+",NA,NA,NA,NA,NA,NA,0.0322434802220581,NA,0.0115548475451514,NA,NA,0.0293725317528129,0.0578864246458035,NA,NA,NA,31606.9316478851,31667.9484253597,0.00348167800266879,0.770603276274587,"Gamma(log)",10,-15793.4658239426,31606.9985375172,60.1860562581132,3.14508119630931e-15
"462",3.99704267185804,"+",0.0689636591666337,0.0231104656529152,"+",NA,"+",NA,0.0335395884448087,NA,NA,NA,NA,0.0526988176341192,NA,NA,NA,NA,31606.9047411352,31698.429907347,0.00461173136407664,0.777294482674546,"Gamma(log)",15,-15788.4523705676,31607.0509043507,60.238423091625,3.06380096526021e-15
"817",4.00366488537655,"+",0.0686617900820648,0.0187313563810026,NA,0.0620478412952675,"+",NA,NA,NA,0.0175546677108962,NA,NA,NA,NA,-0.00554499436951036,NA,NA,31606.9235198642,31692.3470083286,0.00455632832906019,0.777390434313528,"Gamma(log)",14,-15789.4617599321,31607.0513737455,60.2388924863735,3.06308198359328e-15
"2064",4.00064718844638,"+",0.0677961275444997,0.0228701567662865,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.0495503540238113,NA,NA,NA,NA,31607.0180715219,31674.1365267439,0.00398873052218509,0.77643975850328,"Gamma(log)",11,-15792.5090357609,31607.0983634927,60.2858822335656,2.9919541017769e-15
"122",3.99395405158968,"+",0.0661198623275713,0.023492212070378,"+",NA,"+",NA,0.0337216090481122,NA,0.0167857355364574,NA,NA,0.0521334266803367,NA,NA,NA,NA,31606.9557438918,31704.5825878511,0.00471250727983412,0.778111720214534,"Gamma(log)",16,-15787.4778719459,31607.1214459935,60.3089647344095,2.95762171068892e-15
"1906",4.00649162425146,"+",NA,0.0255119774368314,NA,NA,NA,NA,0.0323285972847912,NA,NA,NA,NA,NA,0.0753310290679702,NA,-0.00585060003760152,NA,31607.0554659994,31668.072243474,0.00339390708281449,0.771565236745517,"Gamma(log)",10,-15793.5277329997,31607.1223556315,60.3098743724113,2.9562768339984e-15
"1481",4.00508153244597,"+",0.0695064035881833,0.0183705547133943,NA,0.0611269440242085,"+",NA,NA,NA,NA,NA,NA,NA,NA,-0.00223351505154831,NA,NA,31607.0266544443,31686.3484651612,0.00444751637481811,0.776699417779857,"Gamma(log)",13,-15790.5133272222,31607.1374274206,60.3249461614505,2.93408237618776e-15
