"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(SelfR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","cond(InflowLR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"266",5.72910035098335,"+",0.267292823859555,0.0435534291062207,NA,"+",-0.118205012816907,-0.0657096802997467,NA,NA,NA,-0.0756260475828764,NA,NA,NA,-0.0838302239750143,NA,NA,NA,45988.2790714167,46079.8042376285,0.020613743780316,0.413264153457546,"Gamma(log)",15,-22979.1395357084,45988.4252346323,153.175669274468,2.4709307368239e-35
"2808",5.7226830144402,"+",0.256623753379391,NA,NA,NA,-0.116396969647,-0.0652394533003143,NA,-0.0714811944719128,NA,NA,NA,NA,NA,NA,NA,NA,NA,45988.5347674491,46049.5515449237,0.0178992638646371,0.410061919452163,"Gamma(log)",10,-22984.2673837246,45988.6016570812,153.352091723376,2.26230379352117e-35
"243",5.71379780100641,"+",0.266695114114406,0.0299945003493884,NA,"+",NA,-0.0635949313793156,NA,-0.0207642149760317,NA,-0.0762237943727184,NA,NA,NA,NA,NA,-0.134893497806583,NA,45988.5025992594,46080.0277654712,0.0203056875431532,0.410071594988966,"Gamma(log)",15,-22979.2512996297,45988.648762475,153.399197117113,2.20964302397091e-35
"2388",5.71502704970374,"+",0.273501074890315,NA,NA,NA,-0.111865315309316,NA,NA,NA,NA,-0.0718884864863036,-0.0270954268732878,NA,NA,-0.0572379040366626,NA,NA,NA,45988.5916813168,46055.7101365388,0.0191909719457579,0.421588668003033,"Gamma(log)",11,-22983.2958406584,45988.6719732876,153.422407929713,2.18414744831307e-35
"3871",5.71086832005449,"+",NA,NA,NA,NA,NA,NA,0.0862091754311221,NA,-0.256185945513369,-0.0610939115893073,NA,NA,NA,NA,NA,NA,NA,45988.6882025617,46043.6033022888,0.0126060837278588,0.408735498532012,"Gamma(log)",9,-22985.3441012809,45988.7429138079,153.493348450094,2.10803304884587e-35
"929",5.72769163898153,"+",0.268144941720727,NA,NA,"+",-0.110687147375101,-0.0657141518309011,NA,NA,NA,-0.0772126381994557,NA,NA,NA,-0.0827920087279399,NA,NA,NA,45988.629560562,46074.0530490263,0.0202154434121099,0.411047321251912,"Gamma(log)",14,-22980.314780281,45988.7574144433,153.507849085414,2.09280441254018e-35
"2795",5.70549006634989,"+",0.253984198850902,NA,NA,NA,NA,-0.0630703672145305,NA,-0.0283351868290909,NA,NA,NA,NA,NA,NA,NA,-0.121853150874528,NA,45988.7002669811,46049.7170444556,0.0182174831620635,0.405627219586043,"Gamma(log)",10,-22984.3501334905,45988.7671566132,153.517591255317,2.08263497267061e-35
"3487",5.70709903266021,"+",NA,NA,NA,NA,NA,NA,0.106230981537693,-0.0463138153132035,-0.252553962473036,-0.0554648043778573,NA,NA,NA,NA,NA,NA,NA,45988.7699195767,46049.7866970512,0.0135059981308021,0.41121643779344,"Gamma(log)",10,-22984.3849597884,45988.8368092088,153.587243850969,2.01135295573744e-35
"3304",5.71235873734153,"+",NA,0.0636891998929071,NA,NA,-0.0719512271445415,NA,NA,NA,-0.22610825636608,-0.0578705447725151,NA,NA,NA,NA,NA,NA,NA,45988.7705965513,46049.7873740258,0.0133915960687262,0.420606880209437,"Gamma(log)",10,-22984.3852982756,45988.8374861834,153.587920825528,2.01067225355774e-35
"3150",5.70635646784545,"+",0.270406570311108,NA,NA,"+",NA,NA,NA,NA,NA,-0.0784098851545401,NA,NA,NA,NA,NA,-0.144143155659571,NA,45988.7999176018,46062.0200505713,0.0198155806263543,0.419210251123411,"Gamma(log)",12,-22982.3999588009,45988.8948369812,153.645271623362,1.95383424554232e-35
"2645",5.71010062549565,"+",NA,0.0585024675525316,NA,"+",NA,NA,0.112168962077145,-0.0655663727954774,-0.283757917185634,NA,NA,NA,NA,NA,NA,NA,NA,45988.7849552451,46068.1067659621,0.0157876322454248,0.413899200549377,"Gamma(log)",13,-22981.3924776226,45988.8957282214,153.646162863566,1.95296377169076e-35
"2718",5.71366882761995,"+",NA,NA,NA,"+",NA,NA,0.106967883756321,-0.0571054870696718,-0.276989666915764,-0.0554927370166392,NA,NA,NA,NA,NA,NA,NA,45988.7882642906,46068.1100750075,0.0152907077245877,0.413395601178226,"Gamma(log)",13,-22981.3941321453,45988.8990372669,153.649471909019,1.94973522033912e-35
"1344",5.71949944606837,"+",0.27103931223385,0.041567745478468,NA,NA,-0.122464996013929,NA,NA,-0.0535355160896041,NA,-0.0653149333991231,-0.019089482767306,NA,NA,NA,NA,NA,NA,45988.8352117901,46062.0553447595,0.0191064974874997,0.424552000238018,"Gamma(log)",12,-22982.417605895,45988.9301311694,153.680565811585,1.91965719846272e-35
"1140",5.71438180656277,"+",NA,0.06879701853858,NA,"+",-0.0774918508926815,-0.0654089444325998,NA,NA,-0.241875625059639,NA,NA,NA,NA,NA,NA,-0.0213480701848028,NA,45988.9224413713,46074.3459298357,0.0155348014592544,0.412509122090835,"Gamma(log)",14,-22980.4612206856,45989.0502952526,153.800729894727,1.80771675214547e-35
"2389",5.717313824705,"+",0.271951010444881,NA,NA,NA,-0.115370377016358,NA,NA,-0.0540611723102816,NA,-0.0667079214734946,-0.018862144688591,NA,NA,NA,NA,NA,NA,45988.9877568344,46056.1062120564,0.0187671650460823,0.422552015177902,"Gamma(log)",11,-22983.4938784172,45989.0680488052,153.818483447321,1.79174106612645e-35
"1339",5.71944559953606,"+",0.270138847519199,0.0415852186337409,NA,NA,-0.121452317412614,NA,-0.0101437972297687,-0.0579487104367124,NA,-0.0682908615857084,NA,NA,NA,NA,NA,NA,NA,45988.9948640193,46062.2149969888,0.0190626780349363,0.424413743655131,"Gamma(log)",12,-22982.4974320097,45989.0897833987,153.840218040837,1.77237510267312e-35
"3658",5.71570464364906,"+",NA,NA,NA,NA,NA,-0.0631031360786078,0.0838622101655873,NA,-0.251285118475144,NA,NA,NA,NA,NA,NA,NA,NA,45989.0394241977,46043.9545239248,0.0126711113189551,0.396726770409352,"Gamma(log)",9,-22985.5197120988,45989.0941354439,153.844570086047,1.76852256750795e-35
"2441",5.70833746342333,"+",0.270827731549619,NA,NA,"+",-0.104345186632537,NA,NA,-0.0242608429953239,NA,NA,NA,NA,NA,NA,NA,-0.115800064211638,NA,45989.0374314565,46068.3592421735,0.0201485440863464,0.426101045917879,"Gamma(log)",13,-22981.5187157283,45989.1482044328,153.898639074971,1.72135194384005e-35
"3386",5.70654754208927,"+",NA,0.0562503474914016,NA,NA,NA,NA,0.112069058815149,-0.0561774974718918,-0.257779557652489,NA,NA,NA,NA,NA,NA,NA,NA,45989.09801459,46050.1147920646,0.0138784797831783,0.411632981999383,"Gamma(log)",10,-22984.549007295,45989.1649042221,153.915338864274,1.70703867674791e-35
"1174",5.71577630722666,"+",NA,0.06854615160457,NA,"+",-0.0782883020990194,-0.0654877691515909,NA,-0.0156443222877663,-0.247006631568623,NA,NA,NA,NA,NA,NA,NA,NA,45989.0659460778,46074.4894345422,0.0155923710091606,0.412184117270646,"Gamma(log)",14,-22980.5329730389,45989.1937999591,153.944234601244,1.68255291590359e-35
"2385",5.71728117701205,"+",0.271008172418171,NA,NA,NA,-0.114362936822986,NA,-0.00968210359421097,-0.0585604961633861,NA,-0.0696330169573959,NA,NA,NA,NA,NA,NA,NA,45989.1484209017,46056.2668761237,0.0187252122086996,0.42241395003434,"Gamma(log)",11,-22983.5742104508,45989.2287128725,153.979147514656,1.65343637893638e-35
"2227",5.72484878039998,"+",0.271579883602071,0.0418638177095403,NA,NA,-0.12993490937788,NA,NA,NA,NA,-0.0658543123586111,-0.0486146725481836,NA,NA,NA,NA,NA,NA,45989.2188531767,46056.3373083987,0.0188525274169978,0.423375418780335,"Gamma(log)",11,-22983.6094265884,45989.2991451475,154.049579789673,1.59622208218756e-35
"3065",5.72948615007678,"+",0.263334346317733,0.0418325127264554,NA,NA,-0.129820209102862,NA,NA,NA,NA,-0.0740810013289673,NA,NA,NA,NA,NA,NA,NA,45989.2526380276,46050.2694155021,0.0183469796130142,0.421938557591825,"Gamma(log)",10,-22984.6263190138,45989.3195276597,154.069962301837,1.58003718647472e-35
"268",5.73501673060012,"+",0.266318968935448,0.040955996720423,NA,"+",-0.120732473500784,-0.0657221747099285,NA,-0.0713000732909208,NA,-0.0684707582652915,NA,NA,NA,NA,NA,NA,NA,45989.1880251386,46080.7131913504,0.0200388460143327,0.414476341027493,"Gamma(log)",15,-22979.5940125693,45989.3341883542,154.084622996321,1.56849731255794e-35
"1166",5.71631532056794,"+",NA,0.0692492780092073,NA,"+",-0.0806021608496733,-0.0650469316510031,NA,NA,-0.250876712707701,NA,0.00514638196213181,NA,NA,NA,NA,NA,NA,45989.2785243666,46074.702012831,0.0153282549718245,0.411301559634161,"Gamma(log)",14,-22980.6392621833,45989.4063782479,154.156812890047,1.51289205673879e-35
