"","From","To","Prob"
"327991","V2303","V1735",2
"328238","V2550","V1735",12
"328687","V2999","V1735",16
"328822","V3134","V1735",2
"328826","V3138","V1735",4
"341807","V1315","V1747",2
"342098","V1606","V1747",4
"342099","V1607","V1747",60
"342100","V1608","V1747",68
"342101","V1609","V1747",16
"342102","V1610","V1747",46
"342165","V1673","V1747",28
"342232","V1740","V1747",2
"342233","V1741","V1747",34
"342234","V1742","V1747",10
"342235","V1743","V1747",14
"342236","V1744","V1747",20
"342237","V1745","V1747",10
"342238","V1746","V1747",6
"342239","V1747","V1747",32
"342240","V1748","V1747",12
"342241","V1749","V1747",12
"342242","V1750","V1747",4
"342243","V1751","V1747",20
"342249","V1757","V1747",16
"342305","V1813","V1747",2
"342311","V1819","V1747",2
"342319","V1827","V1747",4
"342320","V1828","V1747",8
"342321","V1829","V1747",4
"342322","V1830","V1747",30
"342324","V1832","V1747",30
"342327","V1835","V1747",14
"342330","V1838","V1747",2
"342335","V1843","V1747",22
"342338","V1846","V1747",182
"342377","V1885","V1747",2
"342382","V1890","V1747",12
"342383","V1891","V1747",4
"342456","V1964","V1747",6
"342457","V1965","V1747",40
"342458","V1966","V1747",38
"342480","V1988","V1747",2
"342780","V2288","V1747",2
"342797","V2305","V1747",2
"356954","V1658","V1782",4
"356956","V1660","V1782",4
"356960","V1664","V1782",6
"356967","V1671","V1782",2
"356968","V1672","V1782",2
"357000","V1704","V1782",6
"357061","V1765","V1782",2
"357063","V1767","V1782",4
"357064","V1768","V1782",6
"357066","V1770","V1782",110
"357067","V1771","V1782",2
"357068","V1772","V1782",10
"357074","V1778","V1782",20
"357075","V1779","V1782",6
"357079","V1783","V1782",4
"357080","V1784","V1782",2
"357086","V1790","V1782",40
"357087","V1791","V1782",46
"357089","V1793","V1782",8
"357103","V1807","V1782",10
"357120","V1824","V1782",14
"357129","V1833","V1782",2
"366062","V10766","V1782",2
"371716","V1616","V1822",2
"371741","V1641","V1822",8
"371742","V1642","V1822",10
"371745","V1645","V1822",238
"371746","V1646","V1822",50
"371747","V1647","V1822",188
"371748","V1648","V1822",124
"371749","V1649","V1822",34
"371765","V1665","V1822",4
"371770","V1670","V1822",8
"371796","V1696","V1822",12
"371797","V1697","V1822",6
