"","From","To","Prob"
"164408","V1564","V1271",2
"164409","V1565","V1271",2
"164410","V1566","V1271",5
"164413","V1569","V1271",9
"164414","V1570","V1271",4
"164417","V1573","V1271",4
"164418","V1574","V1271",1
"164419","V1575","V1271",5
"164420","V1576","V1271",1
"164424","V1580","V1271",1
"164426","V1582","V1271",1
"164427","V1583","V1271",4
"164429","V1585","V1271",3
"164430","V1586","V1271",3
"164431","V1587","V1271",2
"164432","V1588","V1271",2
"164435","V1591","V1271",5
"164436","V1592","V1271",8
"164437","V1593","V1271",6
"164438","V1594","V1271",1
"164439","V1595","V1271",2
"164440","V1596","V1271",11
"164441","V1597","V1271",3
"164442","V1598","V1271",4
"164443","V1599","V1271",1
"164444","V1600","V1271",17
"164445","V1601","V1271",17
"164446","V1602","V1271",5
"164447","V1603","V1271",3
"164448","V1604","V1271",17
"164449","V1605","V1271",14
"164521","V1677","V1271",15
"164522","V1678","V1271",16
"164523","V1679","V1271",1
"164525","V1681","V1271",3
"164526","V1682","V1271",21
"164527","V1683","V1271",21
"164528","V1684","V1271",5
"164529","V1685","V1271",7
"164531","V1687","V1271",1
"164532","V1688","V1271",15
"164533","V1689","V1271",11
"164534","V1690","V1271",21
"164535","V1691","V1271",19
"164536","V1692","V1271",18
"164537","V1693","V1271",11
"164582","V1738","V1271",1
"164655","V1811","V1271",2
"164656","V1812","V1271",1
"164789","V1945","V1271",4
"164790","V1946","V1271",1
"164811","V1967","V1271",3
"164812","V1968","V1271",3
"164813","V1969","V1271",5
"164814","V1970","V1271",9
"164815","V1971","V1271",12
"164816","V1972","V1271",12
"164817","V1973","V1271",5
"164818","V1974","V1271",5
"164819","V1975","V1271",17
"164820","V1976","V1271",8
"164823","V1979","V1271",1
"165298","V2454","V1271",1
"165441","V2597","V1271",3
"165868","V3024","V1271",1
"171998","V9154","V1271",1
"172168","V9324","V1271",2
"174858","V12014","V1271",1
"174918","V12074","V1271",1
"174921","V12077","V1271",1
"174922","V12078","V1271",3
"174924","V12080","V1271",1
"174929","V12085","V1271",1
"176045","V13201","V1271",1
"176053","V13209","V1271",2
"176061","V13217","V1271",1
"176087","V13243","V1271",1
"176088","V13244","V1271",1
"176098","V13254","V1271",2
"176101","V13257","V1271",1
"176105","V13261","V1271",1
"176111","V13267","V1271",2
"176116","V13272","V1271",1
"176122","V13278","V1271",1
"176132","V13288","V1271",1
