"","From","To","Prob"
"209204","V1948","V1274",20
"223666","V1606","V1623",15
"223673","V1613","V1623",20
"223674","V1614","V1623",15
"223680","V1620","V1623",15
"223695","V1635","V1623",20
"223696","V1636","V1623",20
"223697","V1637","V1623",15
"223706","V1646","V1623",25
"223708","V1648","V1623",15
"223709","V1649","V1623",15
"223736","V1676","V1623",15
"223769","V1709","V1623",15
"223774","V1714","V1623",15
"223778","V1718","V1623",20
"223813","V1753","V1623",15
"223815","V1755","V1623",20
"223816","V1756","V1623",15
"223889","V1829","V1623",15
"223890","V1830","V1623",15
"223901","V1841","V1623",15
"223922","V1862","V1623",15
"223934","V1874","V1623",25
"223940","V1880","V1623",15
"223949","V1889","V1623",15
"223951","V1891","V1623",15
"223955","V1895","V1623",15
"223956","V1896","V1623",15
"223957","V1897","V1623",30
"223958","V1898","V1623",15
"223959","V1899","V1623",20
"223962","V1902","V1623",15
"223965","V1905","V1623",15
"223966","V1906","V1623",20
"223967","V1907","V1623",20
"223969","V1909","V1623",15
"223975","V1915","V1623",15
"223976","V1916","V1623",15
"224446","V2386","V1623",25
"224455","V2395","V1623",15
"224462","V2402","V1623",15
"232850","V10790","V1623",20
"232851","V10791","V1623",15
"232857","V10797","V1623",15
"238472","V1608","V1651",15
"238476","V1612","V1651",20
"238478","V1614","V1651",15
"238479","V1615","V1651",15
"238480","V1616","V1651",15
"238488","V1624","V1651",15
"238500","V1636","V1651",15
"238505","V1641","V1651",15
"238516","V1652","V1651",15
"238538","V1674","V1651",15
"238539","V1675","V1651",15
"238558","V1694","V1651",15
"238564","V1700","V1651",15
"238567","V1703","V1651",15
"238573","V1709","V1651",20
"238586","V1722","V1651",15
"238617","V1753","V1651",15
"238678","V1814","V1651",35
"238684","V1820","V1651",20
"238686","V1822","V1651",15
"238692","V1828","V1651",15
"238699","V1835","V1651",15
"238700","V1836","V1651",15
"238701","V1837","V1651",20
"238704","V1840","V1651",15
"238708","V1844","V1651",20
"238714","V1850","V1651",15
"238715","V1851","V1651",15
"238716","V1852","V1651",25
"238723","V1859","V1651",20
"238730","V1866","V1651",15
"238748","V1884","V1651",15
"238749","V1885","V1651",25
"238752","V1888","V1651",15
"238753","V1889","V1651",30
"238757","V1893","V1651",15
"238762","V1898","V1651",15
"238764","V1900","V1651",15
"238769","V1905","V1651",15
"238777","V1913","V1651",15
"238780","V1916","V1651",15
"238782","V1918","V1651",15
"238786","V1922","V1651",20
"238792","V1928","V1651",15
"238797","V1933","V1651",15
"238798","V1934","V1651",25
"238808","V1944","V1651",15
"238858","V1994","V1651",15
"238859","V1995","V1651",15
"238866","V2002","V1651",15
"238867","V2003","V1651",15
"238869","V2005","V1651",15
"238930","V2066","V1651",15
"239169","V2305","V1651",15
"239177","V2313","V1651",25
"239189","V2325","V1651",15
"239355","V2491","V1651",15
"247650","V10786","V1651",15
"247652","V10788","V1651",15
"247654","V10790","V1651",15
"247655","V10791","V1651",15
"247658","V10794","V1651",15
"253274","V1606","V1653",15
"253280","V1612","V1653",20
"253282","V1614","V1653",20
"253285","V1617","V1653",20
"253286","V1618","V1653",30
"253287","V1619","V1653",30
"253289","V1621","V1653",20
"253290","V1622","V1653",15
"253292","V1624","V1653",15
"253295","V1627","V1653",15
"253297","V1629","V1653",30
"253299","V1631","V1653",15
"253301","V1633","V1653",15
"253303","V1635","V1653",25
"253312","V1644","V1653",15
"253313","V1645","V1653",20
"253318","V1650","V1653",15
"253320","V1652","V1653",15
"253321","V1653","V1653",35
"253323","V1655","V1653",30
"253327","V1659","V1653",15
"253328","V1660","V1653",20
"253332","V1664","V1653",15
"253333","V1665","V1653",25
"253362","V1694","V1653",20
"253371","V1703","V1653",25
"253377","V1709","V1653",15
"253381","V1713","V1653",15
"253385","V1717","V1653",35
"253387","V1719","V1653",15
"253388","V1720","V1653",15
"253389","V1721","V1653",40
"253401","V1733","V1653",15
"253412","V1744","V1653",15
"253421","V1753","V1653",15
"253423","V1755","V1653",20
"253425","V1757","V1653",15
"253427","V1759","V1653",15
"253441","V1773","V1653",15
"253482","V1814","V1653",20
"253484","V1816","V1653",30
"253486","V1818","V1653",15
"253489","V1821","V1653",30
"253490","V1822","V1653",15
"253501","V1833","V1653",15
"253512","V1844","V1653",15
"253518","V1850","V1653",15
"253524","V1856","V1653",25
"253527","V1859","V1653",15
"253535","V1867","V1653",30
"253536","V1868","V1653",20
"253541","V1873","V1653",15
"253543","V1875","V1653",20
"253547","V1879","V1653",15
"253550","V1882","V1653",20
"253553","V1885","V1653",15
"253561","V1893","V1653",15
"253563","V1895","V1653",20
"253564","V1896","V1653",15
"253566","V1898","V1653",20
"253573","V1905","V1653",15
"253581","V1913","V1653",20
"253585","V1917","V1653",20
"253586","V1918","V1653",15
"253587","V1919","V1653",15
"253590","V1922","V1653",15
"253591","V1923","V1653",15
"253593","V1925","V1653",15
"253594","V1926","V1653",20
"253595","V1927","V1653",15
"253596","V1928","V1653",15
"253600","V1932","V1653",35
"253603","V1935","V1653",15
"253605","V1937","V1653",55
"253607","V1939","V1653",20
"253666","V1998","V1653",15
"253672","V2004","V1653",20
"253734","V2066","V1653",25
"253737","V2069","V1653",15
"253767","V2099","V1653",15
"253774","V2106","V1653",15
"253785","V2117","V1653",20
"253962","V2294","V1653",15
"253972","V2304","V1653",15
"253973","V2305","V1653",15
"253993","V2325","V1653",20
"254159","V2491","V1653",15
"254218","V2550","V1653",15
"268091","V1619","V1663",15
"268094","V1622","V1663",15
"268096","V1624","V1663",15
"268113","V1641","V1663",15
"268116","V1644","V1663",25
"268125","V1653","V1663",15
"268126","V1654","V1663",45
"268128","V1656","V1663",20
"268130","V1658","V1663",20
"268131","V1659","V1663",60
"268132","V1660","V1663",65
"268133","V1661","V1663",60
"268134","V1662","V1663",110
"268135","V1663","V1663",115
"268136","V1664","V1663",80
"268139","V1667","V1663",15
"268140","V1668","V1663",25
"268144","V1672","V1663",15
"268168","V1696","V1663",30
"268169","V1697","V1663",20
"268175","V1703","V1663",15
"268180","V1708","V1663",20
"268189","V1717","V1663",20
"268191","V1719","V1663",45
"268192","V1720","V1663",20
"268194","V1722","V1663",20
"268205","V1733","V1663",55
"268230","V1758","V1663",20
"268288","V1816","V1663",35
"268293","V1821","V1663",20
"268336","V1864","V1663",15
"268345","V1873","V1663",15
"268346","V1874","V1663",15
"268351","V1879","V1663",15
"268377","V1905","V1663",25
"268386","V1914","V1663",15
"268387","V1915","V1663",15
"268400","V1928","V1663",85
"268403","V1931","V1663",95
"268404","V1932","V1663",15
"268407","V1935","V1663",45
"268408","V1936","V1663",45
"268409","V1937","V1663",15
"268411","V1939","V1663",55
"268413","V1941","V1663",20
"268415","V1943","V1663",40
"282778","V1502","V1670",20
"282926","V1650","V1670",15
"282983","V1707","V1670",15
"282998","V1722","V1670",15
"283109","V1833","V1670",15
"283182","V1906","V1670",15
"283197","V1921","V1670",15
"283198","V1922","V1670",15
"283254","V1978","V1670",25
"283279","V2003","V1670",15
"283826","V2550","V1670",15
"297547","V1467","V1675",25
"297549","V1469","V1675",15
"297551","V1471","V1675",15
"297690","V1610","V1675",15
"297753","V1673","V1675",15
"297763","V1683","V1675",15
"297814","V1734","V1675",15
"297815","V1735","V1675",15
"297816","V1736","V1675",35
"297818","V1738","V1675",35
"297819","V1739","V1675",30
"297820","V1740","V1675",15
"297826","V1746","V1675",15
"298045","V1965","V1675",15
"326980","V1292","V1735",20
"327105","V1417","V1735",15
"327132","V1444","V1735",15
"327183","V1495","V1735",15
"327184","V1496","V1735",15
"327194","V1506","V1735",15
"327435","V1747","V1735",15
"327439","V1751","V1735",15
"327546","V1858","V1735",20
"327633","V1945","V1735",15
"327636","V1948","V1735",15
"327651","V1963","V1735",15
"327655","V1967","V1735",15
"327657","V1969","V1735",15
"327659","V1971","V1735",15
"327663","V1975","V1735",15
"327688","V2000","V1735",15
"327691","V2003","V1735",20
"327963","V2275","V1735",15
"328098","V2410","V1735",15
"328114","V2426","V1735",15
"328122","V2434","V1735",15
"328124","V2436","V1735",15
"328147","V2459","V1735",15
"328252","V2564","V1735",20
"328282","V2594","V1735",15
"341861","V1369","V1747",15
"341909","V1417","V1747",15
"341925","V1433","V1747",15
"341930","V1438","V1747",25
"341931","V1439","V1747",20
"341932","V1440","V1747",15
"341937","V1445","V1747",15
"341938","V1446","V1747",15
"341939","V1447","V1747",15
"341940","V1448","V1747",15
"341942","V1450","V1747",15
"341943","V1451","V1747",15
"341964","V1472","V1747",15
"341966","V1474","V1747",15
"341967","V1475","V1747",15
"341968","V1476","V1747",15
"341970","V1478","V1747",15
"341971","V1479","V1747",15
"341974","V1482","V1747",15
"341978","V1486","V1747",15
"341995","V1503","V1747",15
"341998","V1506","V1747",15
"342004","V1512","V1747",20
"342098","V1606","V1747",15
"342102","V1610","V1747",15
"342105","V1613","V1747",15
"342111","V1619","V1747",20
"342112","V1620","V1747",15
"342114","V1622","V1747",20
"342115","V1623","V1747",15
"342123","V1631","V1747",15
"342124","V1632","V1747",20
"342127","V1635","V1747",15
"342168","V1676","V1747",45
"342239","V1747","V1747",20
"342242","V1750","V1747",15
"342490","V1998","V1747",15
"342491","V1999","V1747",15
"342496","V2004","V1747",15
