ID,ID2,Lon,Lat,TERRITORY1,sItes
V624,618,70.84,-7.62,Chagos Archipelago,
V625,619,70.76,-7.62,Chagos Archipelago,
V626,620,72.52,-7.3,Chagos Archipelago,
V627,621,72.36,-4.9,Chagos Archipelago,
V628,622,72.28,-4.82,Chagos Archipelago,
V629,623,72.44,-4.9,Chagos Archipelago,
V630,624,72.28,-4.9,Chagos Archipelago,
V631,625,72.36,-4.74,Chagos Archipelago,
V632,626,72.44,-4.74,Chagos Archipelago,
V633,627,72.44,-4.82,Chagos Archipelago,
V634,628,72.36,-4.82,Chagos Archipelago,
V635,629,72.28,-5.06,Chagos Archipelago,
V636,630,72.2,-4.98,Chagos Archipelago,
V637,631,72.36,-5.06,Chagos Archipelago,
V638,632,72.2,-5.06,Chagos Archipelago,
V639,633,72.6,-4.82,Chagos Archipelago,
V640,634,72.6,-4.9,Chagos Archipelago,
V641,635,72.36,-4.98,Chagos Archipelago,
V642,636,72.28,-4.98,Chagos Archipelago,
V643,637,72.2,-5.38,Chagos Archipelago,
V644,638,72.2,-5.3,Chagos Archipelago,
V645,639,72.28,-5.3,Chagos Archipelago,
V646,640,71.88,-5.38,Chagos Archipelago,
V647,641,72.44,-5.7,Chagos Archipelago,
V648,642,72.28,-5.54,Chagos Archipelago,
V649,643,72.52,-5.7,Chagos Archipelago,
V650,644,71.72,-5.46,Chagos Archipelago,
V651,645,72.2,-5.54,Chagos Archipelago,
V652,646,71.88,-5.46,Chagos Archipelago,
V653,647,72.52,-5.14,Chagos Archipelago,
V654,648,71.8,-5.22,Chagos Archipelago,
V655,649,71.72,-5.22,Chagos Archipelago,
V656,650,71.96,-5.22,Chagos Archipelago,
V657,651,72.44,-5.22,Chagos Archipelago,
V658,652,72.44,-4.98,Chagos Archipelago,
V659,653,72.44,-5.14,Chagos Archipelago,
V660,654,72.52,-5.22,Chagos Archipelago,
V661,655,71.64,-5.3,Chagos Archipelago,
V662,656,72.44,-5.3,Chagos Archipelago,
V663,657,71.64,-5.22,Chagos Archipelago,
V664,658,71.88,-5.22,Chagos Archipelago,
V665,659,71.72,-5.86,Chagos Archipelago,
V666,660,71.88,-5.86,Chagos Archipelago,
