ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V258,255,95.48,4.38,Indonesia,,,,Fished,Fished
V259,256,96.12,4.14,Indonesia,,,,Fished,Fished
V260,257,95.32,4.46,Indonesia,,,,Fished,Fished
V261,258,95.4,4.38,Indonesia,,,,Fished,Fished
V262,259,95.48,4.3,Indonesia,,,,Fished,Fished
V263,260,95.4,4.46,Indonesia,,,,Fished,Fished
V264,261,96.84,3.66,Indonesia,,,,Fished,Fished
V265,262,96.76,3.66,Indonesia,,,,Fished,Fished
V266,263,96.52,3.66,Indonesia,,,,Fished,Fished
V267,264,95.8,3.9,Indonesia,,,,Fished,Fished
V268,265,97.4,2.94,Indonesia,,,,Fished,Fished
V269,266,97.32,2.86,Indonesia,,,,Fished,Fished
V270,267,97.48,2.86,Indonesia,,,,Fished,Fished
V271,268,95.88,2.94,Indonesia,,,,Fished,Fished
V272,269,97.32,2.94,Indonesia,,,,Fished,Fished
V273,270,95.56,2.94,Indonesia,,,,Fished,Fished
V274,271,97.48,2.78,Indonesia,,,,Fished,Fished
V275,272,95.64,2.78,Indonesia,,,,Fished,Fished
V276,273,97.56,2.78,Indonesia,,,,Fished,Fished
V277,274,97.4,2.86,Indonesia,,,,Fished,Fished
V278,275,97.4,2.78,Indonesia,,,,Fished,Fished
V279,276,97.16,3.26,Indonesia,,,,Fished,Fished
V280,277,97.08,3.26,Indonesia,,,,Fished,Fished
V281,278,97.08,3.1,Indonesia,,,,Fished,Fished
V282,279,97.08,3.18,Indonesia,,,,Fished,Fished
V283,280,97,3.42,Indonesia,,,,Fished,Fished
V284,281,97.08,3.34,Indonesia,,,,Fished,Fished
V285,282,97,3.34,Indonesia,,,,Fished,Fished
V286,283,97.16,2.94,Indonesia,,,,Fished,Fished
V287,284,97.24,2.94,Indonesia,,,,Fished,Fished
V288,285,95.72,2.94,Indonesia,,,,Fished,Fished
V289,286,95.4,3.02,Indonesia,,,,Fished,Fished
V290,287,97.24,3.02,Indonesia,,,,Fished,Fished
V291,288,95.4,2.94,Indonesia,,,,Fished,Fished
V292,289,95.88,2.54,Indonesia,,,,Fished,Fished
V293,290,96.04,2.54,Indonesia,,,,Fished,Fished
V294,291,97.56,2.62,Indonesia,,,,Fished,Fished
V295,292,96.04,2.46,Indonesia,,,,Fished,Fished
V296,293,96.12,2.46,Indonesia,,,,Fished,Fished
V297,294,95.8,2.54,Indonesia,,,,Fished,Fished
V298,295,96.44,2.54,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V299,296,95.72,2.7,Indonesia,,,,Fished,Fished
V300,297,97.32,2.78,Indonesia,,,,Fished,Fished
V301,298,96.12,2.78,Indonesia,,,,Fished,Fished
V302,299,96.44,2.62,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V303,300,95.8,2.62,Indonesia,,,,Fished,Fished
V304,301,96.36,2.7,Indonesia,,,,Fished,Fished
V305,302,97.48,2.3,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V306,303,97.56,2.3,Indonesia,,,,Fished,Fished
V307,304,96.44,2.3,Indonesia,,,,Fished,Fished
V308,305,97.24,2.38,Indonesia,,,,Fished,Fished
