ID,ID2,Lon,Lat,TERRITORY1,Grav_tot,ECOREGION,PROVINCE
V238,235,95.08,5.34,Indonesia,112,Western Sumatra,Andaman
V239,236,95.08,5.1,Indonesia,0,Western Sumatra,Andaman
V240,237,95.16,5.02,Indonesia,87,Western Sumatra,Andaman
V241,238,96.6,3.58,Indonesia,81,Western Sumatra,Andaman
V242,239,96.76,3.58,Indonesia,119,Western Sumatra,Andaman
V243,240,96.6,3.5,Indonesia,73,Western Sumatra,Andaman
V244,241,96.76,3.5,Indonesia,98,Western Sumatra,Andaman
V245,242,96.44,3.58,Indonesia,71,Western Sumatra,Andaman
V246,243,96.92,3.58,Indonesia,323,Western Sumatra,Andaman
V247,244,96.68,3.58,Indonesia,0,Western Sumatra,Andaman
V248,245,96.36,3.58,Indonesia,67,Western Sumatra,Andaman
V249,246,96.84,3.42,Indonesia,104,Western Sumatra,Andaman
V250,247,96.84,3.5,Indonesia,122,Western Sumatra,Andaman
V251,248,96.92,3.42,Indonesia,131,Western Sumatra,Andaman
V252,249,96.76,3.42,Indonesia,87,Western Sumatra,Andaman
V253,250,96.52,3.5,Indonesia,73,Western Sumatra,Andaman
V254,251,97,3.5,Indonesia,194,Western Sumatra,Andaman
V255,252,96.68,3.5,Indonesia,83,Western Sumatra,Andaman
V256,253,96.92,3.5,Indonesia,176,Western Sumatra,Andaman
V257,254,95.56,4.3,Indonesia,0,Western Sumatra,Andaman
V258,255,95.48,4.38,Indonesia,62,Western Sumatra,Andaman
V259,256,96.12,4.14,Indonesia,21894,Western Sumatra,Andaman
V260,257,95.32,4.46,Indonesia,47,Western Sumatra,Andaman
V261,258,95.4,4.38,Indonesia,54,Western Sumatra,Andaman
V262,259,95.48,4.3,Indonesia,55,Western Sumatra,Andaman
V263,260,95.4,4.46,Indonesia,54,Western Sumatra,Andaman
V264,261,96.84,3.66,Indonesia,0,Western Sumatra,Andaman
V265,262,96.76,3.66,Indonesia,119,Western Sumatra,Andaman
V266,263,96.52,3.66,Indonesia,81,Western Sumatra,Andaman
V267,264,95.8,3.9,Indonesia,48,Western Sumatra,Andaman
V268,265,97.4,2.94,Indonesia,188,Western Sumatra,Andaman
V269,266,97.32,2.86,Indonesia,147,Western Sumatra,Andaman
V270,267,97.48,2.86,Indonesia,245,Western Sumatra,Andaman
V271,268,95.88,2.94,Indonesia,210,Western Sumatra,Andaman
V272,269,97.32,2.94,Indonesia,147,Western Sumatra,Andaman
V273,270,95.56,2.94,Indonesia,29,Western Sumatra,Andaman
V274,271,97.48,2.78,Indonesia,158,Western Sumatra,Andaman
V275,272,95.64,2.78,Indonesia,57,Western Sumatra,Andaman
V276,273,97.56,2.78,Indonesia,165,Western Sumatra,Andaman
V277,274,97.4,2.86,Indonesia,188,Western Sumatra,Andaman
V278,275,97.4,2.78,Indonesia,141,Western Sumatra,Andaman
V279,276,97.16,3.26,Indonesia,4524,Western Sumatra,Andaman
V280,277,97.08,3.26,Indonesia,176,Western Sumatra,Andaman
V281,278,97.08,3.1,Indonesia,0,Western Sumatra,Andaman
V282,279,97.08,3.18,Indonesia,129,Western Sumatra,Andaman
V283,280,97,3.42,Indonesia,222,Western Sumatra,Andaman
V284,281,97.08,3.34,Indonesia,295,Western Sumatra,Andaman
V285,282,97,3.34,Indonesia,147,Western Sumatra,Andaman
V286,283,97.16,2.94,Indonesia,121,Western Sumatra,Andaman
V287,284,97.24,2.94,Indonesia,147,Western Sumatra,Andaman
V288,285,95.72,2.94,Indonesia,51,Western Sumatra,Andaman
V289,286,95.4,3.02,Indonesia,23,Western Sumatra,Andaman
V290,287,97.24,3.02,Indonesia,201,Western Sumatra,Andaman
V291,288,95.4,2.94,Indonesia,23,Western Sumatra,Andaman
V292,289,95.88,2.54,Indonesia,53,Western Sumatra,Andaman
