"","ID","Lon","Lat","General","PROVINCE","Kulbicki","crypto5BROF","crypto5BRIF","pare5BRin","pare5BRout"
"163","V163",98.52,7.74,"Fished","Andaman","Central Indo_Pacific",1264,640,9,26
"164","V164",98.44,7.74,"Fished","Andaman","Central Indo_Pacific",1212,918,8,31
"165","V165",98.28,7.74,"Fished","Andaman","Central Indo_Pacific",1165,1591,10,31
"166","V166",98.6,7.74,"Fished","Andaman","Central Indo_Pacific",1312,599,7,26
"167","V167",99.32,6.46,"Fished","Andaman","Central Indo_Pacific",522,477,7,25
"168","V168",99.48,6.54,"MPA","Andaman","Central Indo_Pacific",922,967,13,16
"169","V169",99.72,6.22,"Fished","Andaman","Central Indo_Pacific",1297,1147,11,17
"170","V170",97.8,9.02,"Fished","Andaman","Central Indo_Pacific",966,776,21,20
"171","V171",97.64,8.54,"MPA","Andaman","Central Indo_Pacific",570,867,18,19
"172","V172",99.4,6.46,"Fished","Andaman","Central Indo_Pacific",687,771,12,14
"173","V173",99.16,6.46,"MPA","Andaman","Central Indo_Pacific",528,520,14,26
"174","V174",98.92,7.42,"Fished","Andaman","Central Indo_Pacific",1307,1264,14,24
"175","V175",98.28,7.42,"Fished","Andaman","Central Indo_Pacific",646,2830,22,20
"176","V176",99.32,7.26,"Fished","Andaman","Central Indo_Pacific",2066,1769,11,22
"177","V177",98.84,7.58,"Fished","Andaman","Central Indo_Pacific",1813,1019,14,24
"178","V178",98.76,7.66,"MPA","Andaman","Central Indo_Pacific",1492,924,9,28
"179","V179",98.28,7.5,"Fished","Andaman","Central Indo_Pacific",736,1481,16,17
"180","V180",99.48,6.78,"Fished","Andaman","Central Indo_Pacific",1195,1369,15,17
"181","V181",99.56,6.86,"Fished","Andaman","Central Indo_Pacific",2281,1425,10,16
"182","V182",99.56,6.78,"Fished","Andaman","Central Indo_Pacific",1792,1437,9,19
"183","V183",99.4,7.1,"Fished","Andaman","Central Indo_Pacific",1930,1402,10,17
"184","V184",99.32,7.18,"Fished","Andaman","Central Indo_Pacific",1713,1377,13,24
"185","V185",99.48,6.94,"Fished","Andaman","Central Indo_Pacific",1799,1456,13,18
"186","V186",99.72,6.14,"Fished","Andaman","Central Indo_Pacific",631,636,14,4
"187","V187",95,5.66,"Fished","Andaman","Central Indo_Pacific",1828,1437,28,37
"188","V188",95,5.74,"Fished","Andaman","Central Indo_Pacific",1499,1339,32,48
"189","V189",95.08,5.58,"Fished","Andaman","Central Indo_Pacific",3050,4537,32,42
"190","V190",95.16,5.58,"Fished","Andaman","Central Indo_Pacific",3276,8475,29,32
"191","V191",95,5.58,"Fished","Andaman","Central Indo_Pacific",2504,504,30,43
"192","V192",95.08,6.06,"Fished","Andaman","Central Indo_Pacific",789,609,22,69
"193","V193",95.32,5.74,"Fished","Andaman","Central Indo_Pacific",1578,881,12,53
"194","V194",95.24,5.82,"Fished","Andaman","Central Indo_Pacific",1299,907,25,54
"195","V195",98.84,-0.74,"Fished","Andaman","Central Indo_Pacific",2875,4134,81,53
"196","V196",98.76,-0.74,"Fished","Andaman","Central Indo_Pacific",2789,2788,68,67
"197","V197",98.6,-0.82,"Fished","Andaman","Central Indo_Pacific",5705,3774,80,68
"198","V198",98.6,-0.82,"Fished","Andaman","Central Indo_Pacific",5843,4765,85,53
"199","V199",98.84,-0.82,"Fished","Andaman","Central Indo_Pacific",5973,9082,80,60
"200","V200",98.84,-0.82,"Fished","Andaman","Central Indo_Pacific",5952,5254,79,64
"201","V201",98.76,-0.82,"Fished","Andaman","Central Indo_Pacific",870,502,50,39
"202","V202",98.76,-0.82,"Fished","Andaman","Central Indo_Pacific",1351,1074,61,31
"203","V203",98.68,-0.82,"Fished","Andaman","Central Indo_Pacific",1363,977,50,28
"204","V204",98.68,-0.82,"Fished","Andaman","Central Indo_Pacific",2768,495,31,49
"205","V205",101,-4.02,"Fished","Andaman","Central Indo_Pacific",2459,389,25,61
"206","V206",100.6,-3.54,"Fished","Andaman","Central Indo_Pacific",2668,344,26,54
"207","V207",100.68,-3.54,"Fished","Andaman","Central Indo_Pacific",2961,13880,32,41
"208","V208",95.08,5.42,"Fished","Andaman","Central Indo_Pacific",2829,1216,32,51
"209","V209",95,5.42,"Fished","Andaman","Central Indo_Pacific",3152,2936,39,36
"210","V210",95,5.5,"Fished","Andaman","Central Indo_Pacific",3470,11598,50,54
"211","V211",95.16,5.5,"Fished","Andaman","Central Indo_Pacific",3010,342,35,98
"212","V212",95.08,5.5,"Fished","Andaman","Central Indo_Pacific",2782,297,39,98
"213","V213",95.16,5.42,"Fished","Andaman","Central Indo_Pacific",3093,233,26,91
"214","V214",95.4,4.78,"Fished","Andaman","Central Indo_Pacific",3582,14734,45,31
"215","V215",95.24,4.78,"Fished","Andaman","Central Indo_Pacific",3151,975,31,73
"216","V216",95.24,4.7,"Fished","Andaman","Central Indo_Pacific",3169,1384,34,75
"217","V217",95.16,4.86,"Fished","Andaman","Central Indo_Pacific",2938,2757,46,77
"218","V218",95.4,4.86,"Fished","Andaman","Central Indo_Pacific",3263,2373,39,45
"219","V219",95.24,4.94,"Fished","Andaman","Central Indo_Pacific",2903,1459,44,96
"220","V220",95.24,4.86,"Fished","Andaman","Central Indo_Pacific",2659,1423,45,88
"221","V221",95.4,4.62,"Fished","Andaman","Central Indo_Pacific",2927,2813,51,78
"222","V222",95.48,4.62,"Fished","Andaman","Central Indo_Pacific",3180,458,34,75
"223","V223",95.32,4.62,"Fished","Andaman","Central Indo_Pacific",3499,6148,42,34
"224","V224",95.32,4.54,"Fished","Andaman","Central Indo_Pacific",2904,555,26,76
"225","V225",95.32,4.7,"Fished","Andaman","Central Indo_Pacific",3051,484,24,81
"226","V226",95.16,5.18,"Fished","Andaman","Central Indo_Pacific",3314,1411,43,42
"227","V227",95.24,5.18,"Fished","Andaman","Central Indo_Pacific",3289,778,34,48
"228","V228",95.08,5.26,"Fished","Andaman","Central Indo_Pacific",3397,2066,36,23
"229","V229",95.08,5.18,"Fished","Andaman","Central Indo_Pacific",3500,6048,41,56
"230","V230",95.16,5.34,"Fished","Andaman","Central Indo_Pacific",3087,186,26,91
"231","V231",95.16,5.26,"Fished","Andaman","Central Indo_Pacific",2749,311,27,92
"232","V232",95.24,5.26,"Fished","Andaman","Central Indo_Pacific",3203,151,25,91
"233","V233",95.32,5.02,"Fished","Andaman","Central Indo_Pacific",3300,4204,38,61
"234","V234",95.16,5.1,"Fished","Andaman","Central Indo_Pacific",2826,680,26,53
"235","V235",95.08,5.02,"Fished","Andaman","Central Indo_Pacific",2902,348,32,86
"236","V236",95.16,4.94,"Fished","Andaman","Central Indo_Pacific",3006,82,16,85
"237","V237",95.24,5.1,"Fished","Andaman","Central Indo_Pacific",3422,1453,48,36
