pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
21.80451128,25.56390977,52.63157895,18.84057971,20.28985507,60.86956522,45.23809524,47.61904762,7.142857143,38.50574713,51.14942529,10.34482759
14.08450704,12.11267606,73.8028169,17.71300448,15.69506726,66.59192825,36.92307692,49.23076923,13.84615385,38.07692308,34.61538462,27.30769231
37.11340206,50.51546392,12.37113402,37.21973094,31.83856502,30.94170404,37.31343284,49.25373134,13.43283582,47.22222222,42.59259259,10.18518519
16.93121693,15.87301587,67.1957672,21.66666667,20.95238095,57.38095238,35.34482759,43.96551724,20.68965517,44.76534296,48.01444043,7.220216606
16.33802817,10.42253521,73.23943662,26.03550296,18.04733728,55.91715976,52.72727273,47.27272727,0,45.45454545,33.47107438,21.07438017
19.60784314,15.96638655,64.42577031,33.95061728,27.16049383,38.88888889,28.46153846,27.69230769,43.84615385,48.61111111,42.01388889,9.375
30.10752688,29.03225806,40.86021505,30.89430894,32.5203252,36.58536585,37.68115942,36.23188406,26.08695652,37.02531646,42.72151899,20.25316456
18.36734694,31.29251701,50.34013605,24.09638554,26.10441767,49.79919679,26.31578947,73.68421053,0,42.16216216,50.81081081,7.027027027
17.9916318,5.857740586,76.15062762,30,21,49,65.30612245,34.69387755,0,42.46575342,30.82191781,26.71232877
58.77192982,41.22807018,0,41.90871369,34.85477178,23.23651452,61.40350877,38.59649123,0,43.28358209,48.13432836,8.582089552
33.10344828,37.93103448,28.96551724,29.66101695,35.16949153,35.16949153,51.78571429,48.21428571,0,42.79475983,55.02183406,2.183406114
54.19847328,44.27480916,1.526717557,40.67164179,35.07462687,24.25373134,46.2962963,53.7037037,0,45.28301887,49.05660377,5.660377358
20.1183432,16.56804734,63.31360947,14.50151057,13.14199396,72.35649547,11.06382979,11.70212766,77.23404255,35,33.25,31.75
18.78453039,21.54696133,59.66850829,13.14741036,13.34661355,73.5059761,18.18181818,81.81818182,0,42.08144796,45.24886878,12.66968326
30.25210084,36.13445378,33.61344538,38.21989529,34.55497382,27.22513089,51.92307692,48.07692308,0,47.76119403,46.76616915,5.472636816
55.55555556,44.44444444,0,49.78354978,41.55844156,8.658008658,35.29411765,64.70588235,0,49.45454545,48.36363636,2.181818182
59.34065934,40.65934066,0,53.06122449,40.13605442,6.802721088,73.68421053,26.31578947,0,57.21393035,35.82089552,6.965174129
23.36448598,16.82242991,59.81308411,22.29508197,23.60655738,54.09836066,58.33333333,41.66666667,0,48.86877828,47.51131222,3.619909502
8.860759494,8.860759494,82.27848101,10.02747253,12.91208791,77.06043956,28.57142857,42.10526316,29.32330827,45.07042254,47.18309859,7.746478873
36.58536585,43.90243902,19.51219512,28.93081761,40.88050314,30.18867925,46.66666667,46.66666667,6.666666667,46.72131148,50.81967213,2.459016393
51.37614679,28.44036697,20.18348624,32.69230769,33.17307692,34.13461538,51.06382979,48.93617021,0,49.51456311,39.32038835,11.16504854
34.375,33.33333333,32.29166667,45.09803922,42.15686275,12.74509804,41.42857143,58.57142857,0,50.59288538,47.82608696,1.581027668
36.13445378,48.7394958,15.12605042,41.71428571,51.42857143,6.857142857,28.37837838,71.62162162,0,41.52542373,57.20338983,1.271186441
45.13274336,49.55752212,5.309734513,47.02970297,49.5049505,3.465346535,49.33333333,34.66666667,16,46.15384615,49.14529915,4.700854701
59.5890411,39.04109589,1.369863014,50.81967213,42.62295082,6.557377049,60,40,0,52.17391304,40.80267559,7.023411371
43.70860927,35.09933775,21.19205298,48.24561404,41.22807018,10.52631579,57.74647887,42.25352113,0,49.05660377,49.81132075,1.132075472
48.7012987,37.01298701,14.28571429,52.94117647,42.53393665,4.524886878,48.33333333,51.66666667,0,51.21107266,44.29065744,4.498269896
64.77272727,35.22727273,0,51.64835165,34.61538462,13.73626374,92.59259259,7.407407407,0,61.57894737,38.42105263,0
21.05263158,20.70175439,58.24561404,28.94736842,32.33082707,38.72180451,35.22727273,64.77272727,0,42.96875,52.34375,4.6875
60,37.89473684,2.105263158,40.88669951,29.55665025,29.55665025,57.14285714,42.85714286,0,54.37788018,37.32718894,8.294930876
38.63636364,15.90909091,45.45454545,47.42268041,32.98969072,19.58762887,52.38095238,23.1292517,24.48979592,54.14364641,36.4640884,9.392265193
46.83544304,43.03797468,10.12658228,34.45945946,43.24324324,22.2972973,55.31914894,38.29787234,6.382978723,45,49.16666667,5.833333333
36.92307692,36.92307692,26.15384615,46.84210526,35.26315789,17.89473684,69.8630137,30.1369863,0,56.45933014,40.66985646,2.870813397
50,48,2,42.92237443,32.42009132,24.65753425,74.46808511,25.53191489,0,49.28909953,42.65402844,8.056872038
35.61643836,26.94063927,37.44292237,40.625,34.72222222,24.65277778,42.52873563,50.57471264,6.896551724,48.13559322,46.44067797,5.423728814
53.84615385,46.15384615,0,49.50980392,46.07843137,4.411764706,43.1372549,56.8627451,0,51.79856115,46.76258993,1.438848921
30.51948052,31.81818182,37.66233766,36.14457831,43.37349398,20.48192771,61.11111111,38.88888889,0,42.1686747,51.80722892,6.024096386
46.23655914,51.61290323,2.150537634,36.492891,41.70616114,21.80094787,38.70967742,32.25806452,29.03225806,41.12554113,53.24675325,5.627705628
48.7804878,51.2195122,0,44.88636364,52.27272727,2.840909091,55.26315789,32.89473684,11.84210526,44.30379747,50.63291139,5.063291139
16.97247706,26.14678899,56.88073394,28.05429864,41.62895928,30.31674208,35.41666667,42.70833333,21.875,38.16425121,59.90338164,1.93236715
57.73195876,40.20618557,2.06185567,49.05660377,49.68553459,1.257861635,78.49462366,18.27956989,3.225806452,57.21153846,41.82692308,0.961538462
