"","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","ModelMode","Larval_behaviour","FE","SelfR","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR","OutFlow","Outdegree","btwdegree"
"86","V2985","sw_pacific","lord_howe_island","lord_howe_island_2",21.30228868,65.364,0.010341511,20,"Closed",493.6841296,"pare","passive","pare",0,0,0,0,0,0,0,0,0,28,1,2
"87","V2986","sw_pacific","norfolk_island","norfolk_island_2",21.39241737,24.727,2.400597482,7,"Restricted",64.85770094,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"88","V2987","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_1",22.09420541,118.391,0.000199943,7,"Closed",324.4118249,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"89","V2988","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_2",22.00430401,124.246,0.000333726,7,"Closed",334.29606,"pare","passive","pare",0,0,0,0,0,0,0,0,0,426,15,0
"90","V2989","sw_pacific","lord_howe_island","lord_howe_island_1",21.3805198,99.387,0.087158128,20,"Closed",191.0996738,"pare","passive","pare",0,0,0,0,0,0,0,0,0,110,4,22.6483516483516
"91","V2995","polynesian","marquesas_islands","marquesas_islands_2",27.78124254,51.667,0.356121627,0,"Fished",641.3419127,"pare","passive","pare",0,0,0,0,0,0,0,0,0,106,4,586.30181444365
"92","V3226","central_pacific","ailuk_atoll","ailuk_atoll_3",27.9030443,154.713,0.916308183,9,"Closed",451.9924885,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"93","V3392","sw_pacific","queensland_(other)","queensland_(other)_9",27.74529785,38.5,0.651674955,7,"Closed",562.2602086,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1286,44,1730.35507509007
"94","V3439","sw_pacific","queensland_(other)","queensland_(other)_15",27.35516915,76.333,1.284305843,0,"Fished",643.8923576,"pare","passive","pare",0,0,0,0,0,0,0,0,0,4722,164,5399.64902421389
"95","V3448","sw_pacific","central_gbr","central_gbr_26",26.51169711,151.963,13.60789281,15,"Closed",434.2453149,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1422,50,656.188090588948
"96","V3648","sw_pacific","northern_gbr","northern_gbr_8",26.87207771,122.004,0.168680305,15,"Closed",660.6724257,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2402,84,2708.36647771958
"97","V3681","sw_pacific","northern_gbr","northern_gbr_13",26.83581813,160.333,0.280553342,15,"Restricted",659.6762411,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2176,77,1090.89756604398
"98","V3707","sw_pacific","northern_gbr","northern_gbr_12",26.81103994,80.5,0.202880157,15,"Restricted",262.7460206,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2290,82,9176.40829635516
"99","V3771","sw_pacific","northern_gbr","northern_gbr_2",26.94042107,88.219,0.553697966,15,"Restricted",407.6343242,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2616,93,6655.4682989305
"100","V3773","sw_pacific","northern_gbr","northern_gbr_6",26.711259,186.31,0.511824979,15,"Restricted",783.3204859,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2516,85,18209.7553368475
"101","V3773","sw_pacific","northern_gbr","northern_gbr_7",26.74504322,184,0.521713361,15,"Restricted",462.3644274,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2516,85,18209.7553368475
"102","V3831","sw_pacific","northern_gbr","northern_gbr_1",26.66396436,185.384,0.66171948,19,"Restricted",384.2680544,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3758,126,2086.64433085498
"103","V3922","sw_pacific","central_gbr","central_gbr_27",26.54714343,122,4.321748627,15,"Restricted",213.4556524,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1018,35,1658.16107008904
"104","V3928","sw_pacific","central_gbr","central_gbr_7",26.61292931,138.982,2.628967975,15,"Closed",146.3016712,"pare","passive","pare",0,0,0,0,0,0,0,0,0,668,23,2360.46214299987
"105","V3971","sw_pacific","queensland_(other)","queensland_(other)_19",27.31858919,132.667,0.847466041,0,"Fished",815.8474078,"pare","passive","pare",0,0,0,0,0,0,0,0,0,874,29,86.8791701676208
"106","V3976","sw_pacific","northern_coral_sea","northern_coral_sea_4",27.15282523,167.119,0.994734012,7,"Restricted",811.7306375,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1084,38,270.445747341638
"107","V3979","sw_pacific","northern_coral_sea","northern_coral_sea_10",27.14684497,186.911,1.037367592,7,"Restricted",946.8460724,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1468,51,6019.36476795152
"108","V3979","sw_pacific","northern_coral_sea","northern_coral_sea_7",27.17619328,156.267,1.163168594,7,"Restricted",624.3607264,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1468,51,6019.36476795152
"109","V3980","sw_pacific","northern_coral_sea","northern_coral_sea_3",27.14855087,171.014,0.930257788,7,"Restricted",600.6081732,"pare","passive","pare",0,0,0,0,0,0,0,0,0,748,25,1212.29804335122
"110","V3981","sw_pacific","northern_coral_sea","northern_coral_sea_6",27.1883592,203.211,1.159310673,7,"Restricted",939.4397659,"pare","passive","pare",26,0,0,0,0,0,0,0,0,1060,38,3442.32072283731
"111","V4043","sw_pacific","queensland_(other)","queensland_(other)_17",27.1767765,206.167,1.226788768,0,"Fished",560.0045611,"pare","passive","pare",0,0,0,0,0,0,0,0,0,648,23,369.938316396147
"112","V4044","sw_pacific","queensland_(other)","queensland_(other)_18",27.18604539,183.576,1.04806209,0,"Fished",613.000814,"pare","passive","pare",0,0,0,0,0,0,0,0,0,578,21,186.059128910272
"113","V4049","sw_pacific","queensland_(other)","queensland_(other)_16",27.18128636,194.35,1.247758104,0,"Fished",1003.516175,"pare","passive","pare",0,0,0,0,0,0,0,0,0,766,27,15.7891447913403
"114","V4181","sw_pacific","central_gbr","central_gbr_20",26.23464071,142.048,2.843159731,15,"Restricted",153.1607444,"pare","passive","pare",26,0,0,0,0,0,0,0,0,4772,167,5208.91498019072
"115","V4342","sw_pacific","whitsundays","whitsundays_2",25.67532799,102.743,2.346484256,15,"Closed",423.0430407,"pare","passive","pare",0,0,0,0,0,0,0,0,0,6554,228,2267.07851559891
"116","V4343","sw_pacific","central_gbr","central_gbr_21",25.6795832,152.018,2.434943659,15,"Closed",894.643504,"pare","passive","pare",0,0,0,0,0,0,0,0,0,6098,206,2300.57316387992
"117","V4488","sw_pacific","central_gbr","central_gbr_9",26.28109472,57.867,6.667953172,15,"Closed",148.176814,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2822,89,1694.44061456273
"118","V4552","sw_pacific","queensland_(other)","queensland_(other)_1",25.04411775,120.226,0.762055417,15,"Restricted",225.7904506,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1692,57,1874.94779788724
"119","V4579","sw_pacific","capricorn_group","capricorn_group_8",24.55463253,109.786,3.261797926,15,"Closed",540.8430757,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2174,70,421.482038733217
"120","V4582","sw_pacific","capricorn_group","capricorn_group_6",24.43738718,123.321,4.218634727,15,"Restricted",312.677658,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1938,62,458.01678818898
"121","V4594","sw_pacific","capricorn_group","capricorn_group_4",24.28291566,130.171,6.779172882,15,"Restricted",268.5863302,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2056,68,1190.08466285766
"122","V4620","sw_pacific","capricorn_group","capricorn_group_2",24.5154978,150.019,7.461503311,15,"Closed",241.3003285,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3946,134,2868.6858274413
"123","V4912","sw_pacific","central_gbr","central_gbr_2",26.5672119,146.589,7.410903311,15,"Closed",337.0801062,"pare","passive","pare",0,0,0,0,0,0,0,0,0,5488,191,7479.12178680054
"124","V4918","sw_pacific","central_gbr","central_gbr_3",26.51465166,169.128,6.858620512,15,"Restricted",440.9014478,"pare","passive","pare",0,0,0,0,0,0,0,0,0,4062,140,3286.84842181179
"125","V4921","sw_pacific","central_gbr","central_gbr_5",26.58228857,182.246,5.027961459,15,"Restricted",803.1217673,"pare","passive","pare",26,0,0,0,0,0,0,0,0,4806,163,1028.77597293232
"126","V4922","sw_pacific","central_gbr","central_gbr_24",26.46488439,145,5.169381462,15,"Closed",1250.382857,"pare","passive","pare",26,0,0,0,0,0,0,0,0,4140,145,4220.40953908352
"127","V4957","sw_pacific","central_gbr","central_gbr_11",26.40171901,88,5.584992654,15,"Restricted",734.7927889,"pare","passive","pare",26,0,0,0,0,0,0,0,0,4394,148,4154.60449485445
"128","V4994","sw_pacific","central_gbr","central_gbr_18",26.38260346,147.565,1.947964267,15,"Closed",85.84672413,"pare","passive","pare",0,0,0,0,0,0,0,0,0,6878,239,3200.33228486605
"129","V5037","sw_pacific","central_gbr","central_gbr_19",26.45829897,153.167,1.770948976,15,"Closed",91.16645409,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3690,129,3404.95653026003
"130","V5064","sw_pacific","central_gbr","central_gbr_13",25.54306077,117.945,19.4375289,15,"Restricted",452.9310057,"pare","passive","pare",0,0,0,0,0,0,0,0,0,5174,174,4298.60832891058
"131","V5074","sw_pacific","central_gbr","central_gbr_1",26.46935317,119.393,12.60558979,15,"Restricted",158.5178339,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"132","V5088","sw_pacific","southern_coral_sea","southern_coral_sea_6",25.68883292,143.739,0.294881999,7,"Closed",239.8638264,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"133","V5092","central_iwp","north_west_shelf","north_west_shelf_14",27.04413685,56.786,0.232631494,0,"Fished",756.0893979,"pare","passive","pare",26,0,0,0,0,0,0,0,0,378,14,16751.6127584246
