"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"54","No-Take x Netflow","b_logbiomassarea_Netflow:ClassClosed",0.9,0.5,"median",-0.254785841405495,-0.109969781771728,-0.00691395300261953,0.094634921598116,0.23770187990963,"PARENTAL","Biomass","Human/Env."
"55","Restricted gears x Netflow","b_logbiomassarea_Netflow:ClassRestricted",0.9,0.5,"median",-0.164312380610051,-0.0263809620867484,0.0685313244793759,0.160267159760492,0.300624827286906,"PARENTAL","Biomass","Human/Env."
"56","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassClosed",0.9,0.5,"median",-0.458100309847121,-0.329077077247967,-0.24075408113103,-0.150850731719933,-0.0301697871369545,"PARENTAL","Biomass","Human/Env."
"57","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassRestricted",0.9,0.5,"median",-0.376407824128183,-0.263813632158121,-0.187052494747239,-0.108319418493383,0.00294069949025485,"PARENTAL","Biomass","Human/Env."
"58","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",4.88888669361808,5.06299244954202,5.17280037631643,5.28640801912148,5.46330659666703,"CRYPTIC","Biomass","Intercept"
"59","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0476732209476994,0.118790553586973,0.166975852319438,0.217197160921475,0.285401256015009,"CRYPTIC","Biomass","Human/Env."
"60","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.340291660355935,0.40749360729948,0.453029186435533,0.499768342571814,0.568200243983491,"CRYPTIC","Biomass","Richness"
"61","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.0846933073203894,-0.0243855874982024,0.0157778800351612,0.0572631764365969,0.114409871206739,"CRYPTIC","Biomass","Intrinsic Connect."
"62","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.353027422863491,-0.279269423601367,-0.223869242393284,-0.171740211023622,-0.0983554974468078,"CRYPTIC","Biomass","Extrinsic Connect."
"63","Inflow MPA","b_logbiomassarea_log_InflowMPA",0.9,0.5,"median",-0.234706845048903,-0.162992651416109,-0.114981405567586,-0.0645836233412385,0.00708233398817894,"CRYPTIC","Biomass","Extrinsic Connect."
"64","Inflow Neighb.","b_logbiomassarea_log_InflowNei",0.9,0.5,"median",-0.161112357024289,-0.0977157832380203,-0.0498703488940811,-0.00221571726466491,0.0650684660569174,"CRYPTIC","Biomass","Extrinsic Connect."
"65","Productivity","b_logbiomassarea_prod.annual",0.9,0.5,"median",-0.0145341784733287,0.0489631818248885,0.0937305567952444,0.138362320352187,0.200301054609213,"CRYPTIC","Biomass","Human/Env."
"66","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.376175352748086,-0.286200399232272,-0.22232412415626,-0.159542132525134,-0.065653973181661,"CRYPTIC","Biomass","Human/Env."
"67","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.425451357280625,-0.316435924316459,-0.239536159213708,-0.165871919793984,-0.0567446167262391,"CRYPTIC","Biomass","Intrinsic Connect."
"68","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",0.274164892056788,0.435542836279235,0.547558515645053,0.664020008611056,0.833192558717674,"CRYPTIC","Biomass","Human/Env."
"69","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",0.264790043508613,0.409723559725508,0.50861928001611,0.610358132406619,0.753780014422735,"CRYPTIC","Biomass","Human/Env."
"70","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",0.0989281343318767,0.183920746906691,0.242373718151234,0.299437184917122,0.384046150080487,"CRYPTIC","Biomass","Human/Env."
"71","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.0378516053630916,0.18623943319761,0.291567356079079,0.394448245521332,0.545979008953618,"CRYPTIC","Biomass","Human/Env."
"72","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.00854423578702813,0.13864644792725,0.229926581643941,0.321603306648258,0.450423959998395,"CRYPTIC","Biomass","Human/Env."
"73","No-Take x Netflow","b_logbiomassarea_Netflow:ClassClosed",0.9,0.5,"median",-0.213783441599125,-0.0611344219478984,0.0429981248060596,0.147686186487499,0.30323327550568,"CRYPTIC","Biomass","Human/Env."
"74","Restricted gears x Netflow","b_logbiomassarea_Netflow:ClassRestricted",0.9,0.5,"median",-0.0901539623113747,0.037173085126275,0.128287536460163,0.217557690008355,0.352463688561281,"CRYPTIC","Biomass","Human/Env."
"75","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassClosed",0.9,0.5,"median",-0.51675242484211,-0.376342817215447,-0.282525000718223,-0.186677539895727,-0.0508784134397836,"CRYPTIC","Biomass","Human/Env."
"76","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassRestricted",0.9,0.5,"median",-0.480264420066425,-0.37634694246711,-0.30566744967327,-0.233221210642625,-0.125746599182055,"CRYPTIC","Biomass","Human/Env."
