"","From","To","Prob"
"328239","V2551","V1735",10
"328240","V2552","V1735",20
"328259","V2571","V1735",5
"328688","V3000","V1735",15
"341952","V1460","V1747",5
"342101","V1609","V1747",5
"342104","V1612","V1747",5
"342118","V1626","V1747",5
"342167","V1675","V1747",10
"342168","V1676","V1747",20
"342230","V1738","V1747",5
"342236","V1744","V1747",5
"342240","V1748","V1747",15
"342242","V1750","V1747",15
"342243","V1751","V1747",25
"342305","V1813","V1747",10
"342327","V1835","V1747",15
"342328","V1836","V1747",5
"342335","V1843","V1747",5
"342337","V1845","V1747",5
"342339","V1847","V1747",5
"342352","V1860","V1747",5
"342357","V1865","V1747",5
"342382","V1890","V1747",10
"342456","V1964","V1747",5
"342457","V1965","V1747",20
"342476","V1984","V1747",5
"342486","V1994","V1747",5
"342491","V1999","V1747",5
"342496","V2004","V1747",5
"342750","V2258","V1747",5
"342799","V2307","V1747",5
"342826","V2334","V1747",5
"342995","V2503","V1747",10
"343032","V2540","V1747",5
"356951","V1655","V1782",5
"356960","V1664","V1782",5
"356961","V1665","V1782",5
"356995","V1699","V1782",5
"357019","V1723","V1782",5
"357029","V1733","V1782",15
"357057","V1761","V1782",5
"357061","V1765","V1782",5
"357063","V1767","V1782",5
"357068","V1772","V1782",15
"357069","V1773","V1782",10
"357075","V1779","V1782",5
"357087","V1791","V1782",5
"357089","V1793","V1782",5
"357122","V1826","V1782",5
"357224","V1928","V1782",25
"357231","V1935","V1782",25
"357234","V1938","V1782",10
"357235","V1939","V1782",5
"357239","V1943","V1782",5
"357249","V1953","V1782",5
"366009","V10713","V1782",5
"366011","V10715","V1782",10
"366013","V10717","V1782",5
"366014","V10718","V1782",5
"366018","V10722","V1782",5
"366019","V10723","V1782",10
"366020","V10724","V1782",5
"366021","V10725","V1782",5
"366022","V10726","V1782",25
"366028","V10732","V1782",20
"366032","V10736","V1782",5
"366033","V10737","V1782",5
"366035","V10739","V1782",5
"366037","V10741","V1782",5
"366038","V10742","V1782",5
"366052","V10756","V1782",5
"366055","V10759","V1782",10
"366071","V10775","V1782",5
"366072","V10776","V1782",5
"371571","V1471","V1822",5
"371718","V1618","V1822",5
"371724","V1624","V1822",20
"371729","V1629","V1822",5
"371730","V1630","V1822",5
"371731","V1631","V1822",10
"371734","V1634","V1822",30
"371736","V1636","V1822",30
"371737","V1637","V1822",25
"371741","V1641","V1822",10
"371743","V1643","V1822",5
"371744","V1644","V1822",20
"371745","V1645","V1822",5
"371749","V1649","V1822",20
"371750","V1650","V1822",30
"371751","V1651","V1822",5
"371774","V1674","V1822",20
"371796","V1696","V1822",10
"371798","V1698","V1822",5
"371808","V1708","V1822",15
"371809","V1709","V1822",5
"371810","V1710","V1822",5
"371813","V1713","V1822",15
"371816","V1716","V1822",5
"371818","V1718","V1822",5
"371822","V1722","V1822",20
"371843","V1743","V1822",10
"371844","V1744","V1822",5
"371853","V1753","V1822",25
"371914","V1814","V1822",5
"371916","V1816","V1822",20
"371917","V1817","V1822",15
"371919","V1819","V1822",10
"371921","V1821","V1822",5
"371922","V1822","V1822",10
"371923","V1823","V1822",20
"371929","V1829","V1822",5
"371930","V1830","V1822",5
"371932","V1832","V1822",5
"371943","V1843","V1822",5
"371952","V1852","V1822",5
"371955","V1855","V1822",10
"371957","V1857","V1822",10
"371959","V1859","V1822",5
"371963","V1863","V1822",5
"371964","V1864","V1822",5
