"","From","To","Prob"
"209229","V1973","V1274",3
"209230","V1974","V1274",3
"209235","V1979","V1274",3
"209245","V1989","V1274",3
"209853","V2597","V1274",3
"210262","V3006","V1274",6
"210396","V3140","V1274",3
"210404","V3148","V1274",3
"223683","V1623","V1623",15
"223692","V1632","V1623",9
"223698","V1638","V1623",24
"223699","V1639","V1623",24
"223700","V1640","V1623",9
"223891","V1831","V1623",45
"223893","V1833","V1623",57
"223960","V1900","V1623",6
"223986","V1926","V1623",9
"223993","V1933","V1623",3
"223998","V1938","V1623",12
"224000","V1940","V1623",45
"224002","V1942","V1623",33
"224004","V1944","V1623",48
"224012","V1952","V1623",12
"232845","V10785","V1623",6
"232855","V10795","V1623",3
"232856","V10796","V1623",3
"238481","V1617","V1651",3
"238482","V1618","V1651",3
"238483","V1619","V1651",3
"238485","V1621","V1651",3
"238487","V1623","V1651",3
"238493","V1629","V1651",3
"238501","V1637","V1651",3
"238503","V1639","V1651",3
"238504","V1640","V1651",3
"238518","V1654","V1651",3
"238526","V1662","V1651",3
"238527","V1663","V1651",9
"238585","V1721","V1651",6
"238680","V1816","V1651",6
"238684","V1820","V1651",6
"238685","V1821","V1651",6
"238697","V1833","V1651",6
"238762","V1898","V1651",3
"238770","V1906","V1651",3
"238773","V1909","V1651",3
"238774","V1910","V1651",3
"238776","V1912","V1651",3
"238788","V1924","V1651",3
"238790","V1926","V1651",27
"238792","V1928","V1651",6
"238793","V1929","V1651",36
"238797","V1933","V1651",18
"238804","V1940","V1651",3
"238806","V1942","V1651",3
"238816","V1952","V1651",3
"238817","V1953","V1651",6
"238867","V2003","V1651",6
"238870","V2006","V1651",6
"247659","V10795","V1651",3
"253291","V1623","V1653",6
"253292","V1624","V1653",3
"253298","V1630","V1653",6
"253300","V1632","V1653",3
"253301","V1633","V1653",21
"253302","V1634","V1653",12
"253304","V1636","V1653",15
"253306","V1638","V1653",6
"253307","V1639","V1653",6
"253321","V1653","V1653",36
"253324","V1656","V1653",6
"253331","V1663","V1653",3
"253379","V1711","V1653",3
"253387","V1719","V1653",3
"253388","V1720","V1653",3
"253389","V1721","V1653",33
"253488","V1820","V1653",48
"253489","V1821","V1653",81
"253525","V1857","V1653",15
"253532","V1864","V1653",9
"253571","V1903","V1653",21
"253573","V1905","V1653",18
"253574","V1906","V1653",66
"253580","V1912","V1653",42
"253586","V1918","V1653",6
"253594","V1926","V1653",66
"253596","V1928","V1653",6
"253599","V1931","V1653",3
"253600","V1932","V1653",123
"253602","V1934","V1653",15
"253604","V1936","V1653",9
"253606","V1938","V1653",12
"253607","V1939","V1653",3
"253608","V1940","V1653",3
"253611","V1943","V1653",12
"253619","V1951","V1653",3
"268131","V1659","V1663",3
"268134","V1662","V1663",3
"268135","V1663","V1663",3
"268235","V1763","V1663",3
"268305","V1833","V1663",3
"282935","V1659","V1670",15
"282936","V1660","V1670",3
"282940","V1664","V1670",9
"282942","V1666","V1670",15
"282943","V1667","V1670",27
"282944","V1668","V1670",3
"282945","V1669","V1670",69
"283109","V1833","V1670",36
"283204","V1928","V1670",3
"283207","V1931","V1670",45
"283211","V1935","V1670",3
"283215","V1939","V1670",15
"297688","V1608","V1675",21
"297689","V1609","V1675",24
"297690","V1610","V1675",30
"297753","V1673","V1675",18
"297819","V1739","V1675",6
"297980","V1900","V1675",3
"299079","V2999","V1675",3
"327294","V1606","V1735",3
"327295","V1607","V1735",57
"327296","V1608","V1735",39
"327297","V1609","V1735",45
"327298","V1610","V1735",18
"327301","V1613","V1735",6
"327305","V1617","V1735",3
"327307","V1619","V1735",3
"327308","V1620","V1735",6
"327310","V1622","V1735",6
"327315","V1627","V1735",9
"327316","V1628","V1735",12
"327361","V1673","V1735",27
"327362","V1674","V1735",90
"327367","V1679","V1735",24
"327368","V1680","V1735",30
"327369","V1681","V1735",6
"327371","V1683","V1735",6
"327372","V1684","V1735",9
"327376","V1688","V1735",9
"327377","V1689","V1735",9
"327379","V1691","V1735",12
"327380","V1692","V1735",6
"327423","V1735","V1735",3
"327424","V1736","V1735",6
"327425","V1737","V1735",93
"327426","V1738","V1735",3
"327427","V1739","V1735",3
"327549","V1861","V1735",9
"327643","V1955","V1735",3
"327655","V1967","V1735",3
"327657","V1969","V1735",3
"327658","V1970","V1735",3
"327659","V1971","V1735",3
"327660","V1972","V1735",3
"327683","V1995","V1735",33
"327684","V1996","V1735",30
"327685","V1997","V1735",6
"327688","V2000","V1735",3
"327689","V2001","V1735",3
"327690","V2002","V1735",30
"327691","V2003","V1735",30
"327694","V2006","V1735",39
"328687","V2999","V1735",33
"328822","V3134","V1735",3
"328826","V3138","V1735",3
"342103","V1611","V1747",3
"342104","V1612","V1747",30
"342105","V1613","V1747",9
"342124","V1632","V1747",3
"342130","V1638","V1747",3
"342131","V1639","V1747",3
"342233","V1741","V1747",6
"342234","V1742","V1747",6
"342319","V1827","V1747",12
"342333","V1841","V1747",9
"342340","V1848","V1747",3
"342341","V1849","V1747",6
"342348","V1856","V1747",3
"342350","V1858","V1747",18
"342352","V1860","V1747",6
"342353","V1861","V1747",6
"342355","V1863","V1747",9
"342357","V1865","V1747",18
"342488","V1996","V1747",3
"342490","V1998","V1747",9
"342491","V1999","V1747",18
"342492","V2000","V1747",12
"342493","V2001","V1747",6
"342495","V2003","V1747",6
"342496","V2004","V1747",9
"342498","V2006","V1747",12
"343492","V3000","V1747",3
"356995","V1699","V1782",12
"356997","V1701","V1782",15
"356998","V1702","V1782",33
"357000","V1704","V1782",15
"357003","V1707","V1782",3
"357019","V1723","V1782",18
"357055","V1759","V1782",3
"357058","V1762","V1782",3
"357059","V1763","V1782",3
"357061","V1765","V1782",12
"357063","V1767","V1782",6
"357064","V1768","V1782",18
"357069","V1773","V1782",6
"357111","V1815","V1782",9
"357122","V1826","V1782",24
"357240","V1944","V1782",3
"366065","V10769","V1782",3
"366070","V10774","V1782",3
"366071","V10775","V1782",15
"366076","V10780","V1782",3
"371715","V1615","V1822",3
"371716","V1616","V1822",3
"371723","V1623","V1822",6
"371725","V1625","V1822",60
"371726","V1626","V1822",3
"371728","V1628","V1822",36
"371732","V1632","V1822",6
"371734","V1634","V1822",6
"371736","V1636","V1822",6
"371738","V1638","V1822",3
"371739","V1639","V1822",24
"371740","V1640","V1822",3
"371741","V1641","V1822",6
"371742","V1642","V1822",6
"371743","V1643","V1822",18
"371744","V1644","V1822",54
"371745","V1645","V1822",15
"371746","V1646","V1822",12
"371748","V1648","V1822",111
"371749","V1649","V1822",3
"371750","V1650","V1822",51
"371751","V1651","V1822",24
"371753","V1653","V1822",15
"371754","V1654","V1822",6
"371756","V1656","V1822",12
"371764","V1664","V1822",6
"371765","V1665","V1822",3
"371766","V1666","V1822",3
"371767","V1667","V1822",9
"371769","V1669","V1822",3
"371770","V1670","V1822",24
"371771","V1671","V1822",3
"371797","V1697","V1822",33
"371808","V1708","V1822",12
"371809","V1709","V1822",24
"371811","V1711","V1822",6
"371812","V1712","V1822",3
"371814","V1714","V1822",63
"371815","V1715","V1822",51
"371816","V1716","V1822",6
"371817","V1717","V1822",9
"371818","V1718","V1822",66
"371821","V1721","V1822",9
"371822","V1722","V1822",6
"371843","V1743","V1822",15
"371849","V1749","V1822",3
"371853","V1753","V1822",15
"371857","V1757","V1822",3
"371858","V1758","V1822",72
"371916","V1816","V1822",6
"371917","V1817","V1822",6
"371922","V1822","V1822",6
"371923","V1823","V1822",3
"371932","V1832","V1822",18
"371935","V1835","V1822",6
"371943","V1843","V1822",3
"371948","V1848","V1822",57
"371949","V1849","V1822",105
"371953","V1853","V1822",3
"371955","V1855","V1822",21
"371957","V1857","V1822",9
"371959","V1859","V1822",3
"371962","V1862","V1822",9
"371964","V1864","V1822",24
"371966","V1866","V1822",3
"371968","V1868","V1822",3
"371969","V1869","V1822",3
"371970","V1870","V1822",18
"371971","V1871","V1822",6
"371972","V1872","V1822",9
"371973","V1873","V1822",9
"371974","V1874","V1822",114
"371975","V1875","V1822",18
