"","From","To","Prob"
"223934","V1874","V1623",3
"223935","V1875","V1623",1
"223937","V1877","V1623",1
"223938","V1878","V1623",4
"223943","V1883","V1623",4
"223944","V1884","V1623",2
"223945","V1885","V1623",2
"223947","V1887","V1623",2
"223948","V1888","V1623",1
"223949","V1889","V1623",1
"223952","V1892","V1623",1
"223953","V1893","V1623",1
"223955","V1895","V1623",1
"223957","V1897","V1623",2
"223958","V1898","V1623",2
"223959","V1899","V1623",2
"223961","V1901","V1623",1
"223962","V1902","V1623",2
"223963","V1903","V1623",2
"223965","V1905","V1623",2
"223966","V1906","V1623",1
"223967","V1907","V1623",4
"223968","V1908","V1623",1
"223969","V1909","V1623",1
"223970","V1910","V1623",1
"223971","V1911","V1623",4
"223972","V1912","V1623",1
"223974","V1914","V1623",1
"223976","V1916","V1623",2
"223977","V1917","V1623",1
"223978","V1918","V1623",1
"223985","V1925","V1623",1
"223989","V1929","V1623",1
"223990","V1930","V1623",1
"224462","V2402","V1623",1
"232848","V10788","V1623",1
"232855","V10795","V1623",1
"232856","V10796","V1623",5
"238470","V1606","V1651",1
"238472","V1608","V1651",1
"238474","V1610","V1651",5
"238475","V1611","V1651",1
"238477","V1613","V1651",2
"238487","V1623","V1651",3
"238496","V1632","V1651",2
"238498","V1634","V1651",1
"238499","V1635","V1651",2
"238500","V1636","V1651",2
"238501","V1637","V1651",1
"238502","V1638","V1651",4
"238503","V1639","V1651",1
"238504","V1640","V1651",1
"238514","V1650","V1651",1
"238517","V1653","V1651",2
"238518","V1654","V1651",1
"238525","V1661","V1651",4
"238540","V1676","V1651",2
"238558","V1694","V1651",2
"238565","V1701","V1651",4
"238567","V1703","V1651",4
"238577","V1713","V1651",1
"238582","V1718","V1651",1
"238584","V1720","V1651",1
"238586","V1722","V1651",1
"238618","V1754","V1651",2
"238619","V1755","V1651",2
"238622","V1758","V1651",1
"238623","V1759","V1651",1
"238628","V1764","V1651",1
"238678","V1814","V1651",5
"238680","V1816","V1651",2
"238683","V1819","V1651",2
"238684","V1820","V1651",3
"238686","V1822","V1651",1
"238687","V1823","V1651",1
"238695","V1831","V1651",3
"238704","V1840","V1651",1
"238705","V1841","V1651",3
"238708","V1844","V1651",3
"238711","V1847","V1651",1
"238712","V1848","V1651",2
"238716","V1852","V1651",2
"238720","V1856","V1651",2
"238723","V1859","V1651",1
"238726","V1862","V1651",1
"238727","V1863","V1651",1
"238729","V1865","V1651",2
"238730","V1866","V1651",2
"238735","V1871","V1651",1
"238737","V1873","V1651",1
"238739","V1875","V1651",1
"238740","V1876","V1651",1
"238743","V1879","V1651",1
"238748","V1884","V1651",1
"238749","V1885","V1651",1
"238752","V1888","V1651",1
"238753","V1889","V1651",3
"238756","V1892","V1651",1
"238757","V1893","V1651",2
"238760","V1896","V1651",1
"238762","V1898","V1651",1
"238763","V1899","V1651",1
"238767","V1903","V1651",4
"238768","V1904","V1651",5
"238769","V1905","V1651",2
"238770","V1906","V1651",1
"238773","V1909","V1651",3
"238774","V1910","V1651",2
"238776","V1912","V1651",1
"238777","V1913","V1651",2
"238780","V1916","V1651",2
"238783","V1919","V1651",1
"238784","V1920","V1651",1
"238786","V1922","V1651",1
"238787","V1923","V1651",1
"238788","V1924","V1651",2
"238789","V1925","V1651",2
"238793","V1929","V1651",2
"238794","V1930","V1651",1
"238796","V1932","V1651",1
"238797","V1933","V1651",1
"238798","V1934","V1651",2
"238801","V1937","V1651",1
"238802","V1938","V1651",3
"238803","V1939","V1651",1
"238804","V1940","V1651",1
"238806","V1942","V1651",1
"238807","V1943","V1651",4
"238808","V1944","V1651",5
"238859","V1995","V1651",2
"238861","V1997","V1651",3
"238862","V1998","V1651",1
"238864","V2000","V1651",1
"238866","V2002","V1651",4
"238867","V2003","V1651",2
"238868","V2004","V1651",4
"238869","V2005","V1651",1
"238870","V2006","V1651",2
"239168","V2304","V1651",1
"239189","V2325","V1651",1
"247649","V10785","V1651",1
"247652","V10788","V1651",1
"253274","V1606","V1653",2
"253278","V1610","V1653",2
"253279","V1611","V1653",1
"253280","V1612","V1653",1
"253282","V1614","V1653",1
"253283","V1615","V1653",1
"253285","V1617","V1653",2
"253286","V1618","V1653",5
"253287","V1619","V1653",2
"253289","V1621","V1653",1
"253290","V1622","V1653",3
"253291","V1623","V1653",1
"253292","V1624","V1653",2
"253297","V1629","V1653",10
"253300","V1632","V1653",3
"253302","V1634","V1653",1
"253303","V1635","V1653",3
"253306","V1638","V1653",1
"253308","V1640","V1653",1
"253310","V1642","V1653",2
"253315","V1647","V1653",3
"253317","V1649","V1653",3
"253318","V1650","V1653",1
"253320","V1652","V1653",5
"253321","V1653","V1653",13
"253322","V1654","V1653",10
"253323","V1655","V1653",11
"253324","V1656","V1653",5
"253326","V1658","V1653",2
"253328","V1660","V1653",5
"253329","V1661","V1653",1
"253330","V1662","V1653",1
"253332","V1664","V1653",2
"253333","V1665","V1653",17
"253335","V1667","V1653",1
"253336","V1668","V1653",1
"253343","V1675","V1653",3
"253344","V1676","V1653",2
"253362","V1694","V1653",3
"253366","V1698","V1653",1
"253368","V1700","V1653",2
"253369","V1701","V1653",1
"253371","V1703","V1653",5
"253377","V1709","V1653",1
"253381","V1713","V1653",1
"253385","V1717","V1653",12
"253387","V1719","V1653",2
"253388","V1720","V1653",3
"253389","V1721","V1653",36
"253390","V1722","V1653",7
"253401","V1733","V1653",5
"253417","V1749","V1653",1
"253421","V1753","V1653",2
"253422","V1754","V1653",2
"253423","V1755","V1653",1
"253429","V1761","V1653",4
"253430","V1762","V1653",2
"253441","V1773","V1653",1
"253482","V1814","V1653",2
"253484","V1816","V1653",2
"253489","V1821","V1653",5
"253497","V1829","V1653",1
"253499","V1831","V1653",1
"253501","V1833","V1653",3
"253503","V1835","V1653",1
"253505","V1837","V1653",1
"253508","V1840","V1653",1
"253512","V1844","V1653",2
"253514","V1846","V1653",1
"253516","V1848","V1653",3
"253517","V1849","V1653",1
"253530","V1862","V1653",1
"253531","V1863","V1653",1
"253532","V1864","V1653",1
"253533","V1865","V1653",1
"253536","V1868","V1653",2
"253537","V1869","V1653",1
"253538","V1870","V1653",1
"253539","V1871","V1653",2
"253541","V1873","V1653",1
"253550","V1882","V1653",2
"253553","V1885","V1653",1
"253556","V1888","V1653",1
"253561","V1893","V1653",1
"253563","V1895","V1653",4
"253567","V1899","V1653",1
"253568","V1900","V1653",1
"253572","V1904","V1653",2
"253583","V1915","V1653",1
"253587","V1919","V1653",2
"253588","V1920","V1653",2
"253591","V1923","V1653",2
"253592","V1924","V1653",1
"253594","V1926","V1653",2
"253596","V1928","V1653",7
"253597","V1929","V1653",1
"253599","V1931","V1653",5
"253600","V1932","V1653",4
"253601","V1933","V1653",1
"253602","V1934","V1653",1
"253604","V1936","V1653",2
"253605","V1937","V1653",9
"253606","V1938","V1653",1
"253607","V1939","V1653",6
"253608","V1940","V1653",1
"253609","V1941","V1653",1
"253611","V1943","V1653",2
"253612","V1944","V1653",3
"253619","V1951","V1653",1
"253621","V1953","V1653",1
"253663","V1995","V1653",1
"253666","V1998","V1653",2
"253668","V2000","V1653",1
"253673","V2005","V1653",1
"253734","V2066","V1653",2
"253767","V2099","V1653",1
"253789","V2121","V1653",1
"253972","V2304","V1653",1
"253973","V2305","V1653",1
"254067","V2399","V1653",2
"254075","V2407","V1653",1
"254090","V2422","V1653",1
"268086","V1614","V1663",4
"268087","V1615","V1663",5
"268089","V1617","V1663",16
"268090","V1618","V1663",16
"268091","V1619","V1663",11
"268092","V1620","V1663",10
"268093","V1621","V1663",13
"268094","V1622","V1663",17
"268096","V1624","V1663",1
"268099","V1627","V1663",7
"268101","V1629","V1663",12
"268106","V1634","V1663",1
"268107","V1635","V1663",12
"268116","V1644","V1663",3
"268117","V1645","V1663",1
"268118","V1646","V1663",2
"268119","V1647","V1663",2
"268120","V1648","V1663",1
"268122","V1650","V1663",1
"268126","V1654","V1663",1
"268128","V1656","V1663",1
"268130","V1658","V1663",4
"268131","V1659","V1663",15
"268132","V1660","V1663",11
"268133","V1661","V1663",17
"268134","V1662","V1663",31
"268135","V1663","V1663",23
"268136","V1664","V1663",12
"268138","V1666","V1663",1
"268143","V1671","V1663",3
"268144","V1672","V1663",7
"268168","V1696","V1663",3
"268169","V1697","V1663",6
"268180","V1708","V1663",4
"268182","V1710","V1663",1
"268191","V1719","V1663",1
"268192","V1720","V1663",4
"268194","V1722","V1663",5
"268205","V1733","V1663",24
"268224","V1752","V1663",4
"268225","V1753","V1663",3
"268227","V1755","V1663",23
"268230","V1758","V1663",2
"268245","V1773","V1663",1
"268288","V1816","V1663",3
"268293","V1821","V1663",2
"268294","V1822","V1663",3
"268304","V1832","V1663",2
"268313","V1841","V1663",8
"268320","V1848","V1663",6
"268321","V1849","V1663",4
"268327","V1855","V1663",1
"268328","V1856","V1663",6
"268329","V1857","V1663",14
"268333","V1861","V1663",7
"268336","V1864","V1663",16
"268339","V1867","V1663",12
"268340","V1868","V1663",12
"268341","V1869","V1663",1
"268342","V1870","V1663",1
"268343","V1871","V1663",10
"268344","V1872","V1663",1
"268347","V1875","V1663",1
"268354","V1882","V1663",10
"268356","V1884","V1663",1
"268358","V1886","V1663",3
"268363","V1891","V1663",1
"268364","V1892","V1663",1
"268368","V1896","V1663",1
"268371","V1899","V1663",3
"268376","V1904","V1663",9
"268391","V1919","V1663",2
"268392","V1920","V1663",12
"268397","V1925","V1663",1
"268400","V1928","V1663",16
"268403","V1931","V1663",19
"268404","V1932","V1663",1
"268407","V1935","V1663",3
"268408","V1936","V1663",1
"268409","V1937","V1663",2
"268411","V1939","V1663",4
"268413","V1941","V1663",2
"268415","V1943","V1663",2
"282884","V1608","V1670",1
"282889","V1613","V1670",1
"282891","V1615","V1670",2
"282918","V1642","V1670",3
"282925","V1649","V1670",1
"282985","V1709","V1670",1
"283017","V1741","V1670",1
"283030","V1754","V1670",1
"283037","V1761","V1670",1
"283094","V1818","V1670",1
"283125","V1849","V1670",1
"283142","V1866","V1670",1
"283151","V1875","V1670",1
"283180","V1904","V1670",2
"283195","V1919","V1670",1
"283342","V2066","V1670",1
"283346","V2070","V1670",1
"283375","V2099","V1670",2
"283393","V2117","V1670",2
"283397","V2121","V1670",1
"283400","V2124","V1670",1
"283526","V2250","V1670",2
"283583","V2307","V1670",1
"297549","V1469","V1675",1
"297567","V1487","V1675",1
"297574","V1494","V1675",4
"297577","V1497","V1675",1
"297585","V1505","V1675",1
"297686","V1606","V1675",1
"297729","V1649","V1675",1
